,Полное наименование учреждения,Полное наименование учреждения 2,Муниципальное образование, Тип населённого пункта,Наименование населенного пункта, Адрес учреждения,Широта,Долгота,Тип подключения (сущ.),"Скорость подключения (сущ.), Мбит/с",Провайдер (сущ.),Тип подключения (план),"Скорость подключения (план), Мбит/с",Дата планируемого подключения,Unnamed: 14
483,МКОУ Шаумяновская ООШ,"МОУ "" Шаумяновская ООШ""",Кизлярский район,Село,Им. Шаумяна,"Республика Дагестан, Кизлярский район, с. им. Шаумяна","43,874723","46,688592",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
484,МКОУ ШИДИБСКАЯ СОШ,МОУ Шидибская СОШ,Тляратинский район,Село,Ланда,"Республика Дагестан, Тляратинский район, с. Ланда","42,217517","46,275993",Спутник,1,"ПАО ""Ростелеком""",ВОЛС,50.0,,
485,МКОУ ШИЛЕНСКАЯ СОШ,,,,,,,,,,,,,,
486,МКОУ ШИМИХЮРСКАЯ СОШ,"МОУ ""Шимихюрская СОШ""",Курахский район,Село,Шимихюр,"Республика Дагестан, Курахский район, с. Шимихюр","41,655104","47,699559",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
487,МКОУ ШИНКБАЛАКАДИНСКАЯ ООШ,"МОУ ""Шинкбалакадинская ООШ""",Акушинский район,Село,Дубри,"Республика Дагестан, Акушинский район, с. Дубри","42,261490","47,300282",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
488,МКОУ ШИХИКЕНТСКАЯ СОШ,"МОУ ""Шихикентская СОШ""",Сулейман-Стальский район,Село,Шихикент,"Республика Дагестан, Сулейман-стальский район, с. Шихикент","41,603889","48,165000",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
489,МКОУ ШКОЛА №2 ИМ. З.Х.ХИЗРИЕВА,,,,,,,,,,,,,,
490,МКОУ ШКОЛА-САД НИЖНИЙ ДЖАЛГАН,,,,,,,,,,,,,,
491,МКОУ ШОВКРИНСКАЯ ООШ,МОУ Шовкринская ООШ,Лакский район,Село,Шовкра,"Республика Дагестан, Лакский район, с. Шовкра.","42,140564","47,125939",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
492,МКОУ ШОДРОДИНСКАЯ СОШ,МОУ Шодродинская СОШ,Ботлихский район,Село,Шодрода,"Республика Дагестан, Ботлихский район с. Шодрода","42,678746","46,124430",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
493,МКОУ ШСОШ,,,,,,,,,,,,,,
494,МКОУ ШТУЛЬСКАЯ ООШ,,,,,,,,,,,,,,
495,МКОУ ШУЛАНИНСКАЯ СОШ,МОУ Шуланинская СОШ,Гунибский район,Село,Шулани,"Республика Дагестан, Гунибский район, с. Шулани","42,305530","46,931821",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
496,МКОУ ШУШАНОВСКАЯ СОШ,МОУ Шушановская СОШ,Кизилюртовский район,Село,Шушановка,"Республика Дагестан, Кизилюртовский район, с. Шушановка","43,200040","46,863056",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
497,МКОУ ШУШИНСКАЯ СОШ,МОУ Шушинская СОШ,Новолакский район,Село,Шушия,"Республика Дагестан, Новолакский район, с. Шушия","43,157890","47,463997",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
498,МКОУ ЩАРИНСКАЯ СОШ,МОУ Щаринская СОШ,Лакский район,Село,Шара,"Республика Дагестан, Лакский район, с. Шара","42,114307","47,133923",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
499,МКОУ ЭБДАЛАИНСКАЯ СОШ,"МОУ ""Эбдалаинская СОШ""",Левашинский район,Село,Эбдалая,"Республика Дагестан, Левашинский район с. Эбдалая","42,368700","47,342281",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
500,МКОУ ЭДИГЕЙСКАЯ СОШ,МОУ Эдигейская СОШ,Ногайский район,Село,Эдиге,"Республика Дагестан, Ногайский район, с. Эдиге","44,074009","46,355675",Спутник,1,"ПАО ""Ростелеком""",ВОЛС,50.0,,
501,МКОУ ЭМИНХЮРСКАЯ СОШ,"МОУ ""Эминхюрская СОШ""",Сулейман-Стальский район,Село,Эминхюр,"Республика Дагестан, Сулейман-стальский район, с. Эминхюр","41,762778","48,330556",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
502,МКОУ ЮРКОВСКАЯ СОШ,МОУ Юрковская СОШ,Тарумовский район,Село,Юрковка,"Республика Дагестан, Тарумовский район, с. Юрковка","44,176557","46,679886",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
503,МКОУ ЮХАРИКАРТАССКАЯ ООШ,"МОУ ""Юхарикартасская ООШ""",Сулейман-Стальский район,Село,с.Юхарикартасс,"Республика Дагестан, Сулейман-стальский район, с. Юхарикартасс","41,623611","48,101111",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
504,МКОУ ЮХАРИСТАЛЬСКАЯ СОШ,"МОУ ""Юхаристальская СОШ""",Сулейман-Стальский район,Село,Юхаристаль,"Республика Дагестан, Сулейман-стальский район, с. Юхаристаль","41,707250","48,156222",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
505,МКОУ Ю-ЯРАКСКАЯ ООШ ИМ.А.М.ЮСУФОВА,,,,,,,,,,,,,,
506,МКОУ ЯМАНСУЙСКАЯ СОШ,МОУ Ямансуйская СОШ,Новолакский район,Село,Ямансуй,"Республика Дагестан, Новолакский район, с. Ямансуй","43,138871","46,424327",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
507,МКОУ ЯНГИКЕНТСКАЯ СОШ,,,,,,,,,,,,,,
508,МКОУ ЯРУКВАЛАРСКАЯ ООШ,"МОУ ""Ярукваларская ООШ""",Магарамкентский район,Село,Яруквалар,"Республика Дагестан, Магарамкентский район, с. Яруквалар","41,799616","48,412652",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
509,МКОУ Яснополянская СОШ,"МОУ ""Яснополянская СОШ""",Кизлярский район,Село,Ясная Поляна,"Республика Дагестан, Кизлярский район, с. Ясная Поляна","43,951797","46,770283",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
510,МКОУКШИ ДКК-1,,,,,,,,,,,,,,
511,МОУ КОМСОМОЛЬСКАЯ СОШ,,,,,,,,,,,,,,
512,МОУ МУНИНСКАЯ СОШ,МОУ Мунинская СОШ,Ботлихский район,Село,Муни,"Республика Дагестан, Ботлихский район с. Муни","42,679734","46,309005",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
513,Усухчайская СОШ,"МКОУ ""Усухчайская СОШ имени Х.Д. Заманова""",Докузпаринский район,Село,Усухчай,"Республика Дагестан, Докузпаринский район, с. Усухчай, ул. Х.Д.Заманова, 32а","41,252517","47,550572",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
514,ФУРДАГСКАЯ НШ,,,,,,,,,,,,,,
515,МБОУ АНЧИКСКАЯ СОШ,,,,,,,,,,,,,,
516,МБОУ Атланаульская гим-ия И. Казака,,,,,,,,,,,,,,
517,МБОУ Атланаульская гим-я,,,,,,,,,,,,,,
518,МБОУ Бугленская СООШ с. Буглен,,,,,,,,,,,,,,
519,МБОУ Гимназия 1 г.Дербент,"МБОУ ""Гимназия""",Карабудахкентский район,Село,Карабудахкент,"Республика Дагестан, Карабудахкентский район, с. Карабудахкент, ул. Гвардейская, 6","42,712100","47,564700",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
520,МБОУ Гимназия 11 г. Махачкала,"МБОУ ""Гимназия""",Карабудахкентский район,Село,Карабудахкент,"Республика Дагестан, Карабудахкентский район, с. Карабудахкент, ул. Гвардейская, 6","42,712100","47,564700",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
521,МБОУ Гимназия 13 г. Махачкала,"МБОУ ""Гимназия""",Карабудахкентский район,Село,Карабудахкент,"Республика Дагестан, Карабудахкентский район, с. Карабудахкент, ул. Гвардейская, 6","42,712100","47,564700",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
522,МБОУ Гимназия 17 г. Махачкала,"МБОУ ""Гимназия""",Карабудахкентский район,Село,Карабудахкент,"Республика Дагестан, Карабудахкентский район, с. Карабудахкент, ул. Гвардейская, 6","42,712100","47,564700",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
523,МБОУ Гимназия 28 г. Махачкала,"МБОУ ""Гимназия""",Карабудахкентский район,Село,Карабудахкент,"Республика Дагестан, Карабудахкентский район, с. Карабудахкент, ул. Гвардейская, 6","42,712100","47,564700",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
524,МБОУ Гимназия 4 г. Махачкала,"МБОУ ""Гимназия""",Карабудахкентский район,Село,Карабудахкент,"Республика Дагестан, Карабудахкентский район, с. Карабудахкент, ул. Гвардейская, 6","42,712100","47,564700",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
525,МБОУ ГИМНАЗИЯ №1 ИМЕНИ С.М.ОМАРОВА,"МБОУ ""Гимназия""",Карабудахкентский район,Село,Карабудахкент,"Республика Дагестан, Карабудахкентский район, с. Карабудахкент, ул. Гвардейская, 6","42,712100","47,564700",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
526,МБОУ ГИМНАЗИЯ №1,"МБОУ ""Гимназия""",Карабудахкентский район,Село,Карабудахкент,"Республика Дагестан, Карабудахкентский район, с. Карабудахкент, ул. Гвардейская, 6","42,712100","47,564700",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
527,МБОУ ГИМНАЗИЯ №3,"МБОУ ""Гимназия""",Карабудахкентский район,Село,Карабудахкент,"Республика Дагестан, Карабудахкентский район, с. Карабудахкент, ул. Гвардейская, 6","42,712100","47,564700",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
528,МБОУ Гимназия №3 г. Дербент,"МБОУ ""Гимназия""",Карабудахкентский район,Село,Карабудахкент,"Республика Дагестан, Карабудахкентский район, с. Карабудахкент, ул. Гвардейская, 6","42,712100","47,564700",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
529,МБОУ Гимназия №33 г. Махачкала,"МБОУ ""Гимназия""",Карабудахкентский район,Село,Карабудахкент,"Республика Дагестан, Карабудахкентский район, с. Карабудахкент, ул. Гвардейская, 6","42,712100","47,564700",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
530,МБОУ Гимназия №35 г. Махачкала,"МБОУ ""Гимназия""",Карабудахкентский район,Село,Карабудахкент,"Республика Дагестан, Карабудахкентский район, с. Карабудахкент, ул. Гвардейская, 6","42,712100","47,564700",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
531,МБОУ Гимназия №37 г. Махачкала,"МБОУ ""Гимназия""",Карабудахкентский район,Село,Карабудахкент,"Республика Дагестан, Карабудахкентский район, с. Карабудахкент, ул. Гвардейская, 6","42,712100","47,564700",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
532,МБОУ Гимназия №7 г. Махачкала,"МБОУ ""Гимназия""",Карабудахкентский район,Село,Карабудахкент,"Республика Дагестан, Карабудахкентский район, с. Карабудахкент, ул. Гвардейская, 6","42,712100","47,564700",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
533,МБОУ ГИМНАЗИЯ ПЕРСПЕКТИВА,"МБОУ ""Гимназия""",Карабудахкентский район,Село,Карабудахкент,"Республика Дагестан, Карабудахкентский район, с. Карабудахкент, ул. Гвардейская, 6","42,712100","47,564700",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
534,МБОУ ГКМ г. Дербент,,,,,,,,,,,,,,
535,МБОУ Дербентская гимназия №2,,,,,,,,,,,,,,
536,МБОУ Дербентский КК В.А. Эмирова,,,,,,,,,,,,,,
537,МБОУ Кадетская ШИ 1-ый Даг-ий КК,,,,,,,,,,,,,,
538,МБОУ КАРАТИНСКАЯ ОБЩЕОБР. ГИМНАЗИЯ,,,,,,,,,,,,,,
539,МБОУ КАСПИЙСКИЙ ЛИЦЕЙ 8,Лицей №8,Городской округ город Махачкала,Город,Махачкала,"Республика Дагестан, г. Махачкала, Кировский район, к. № 8","42,984916","47,504718",Медь,4,"ПАО ""Ростелеком""",ВОЛС,100.0,,
540,МБОУ КМШИ,,,,,,,,,,,,,,
541,МБОУ КСОШ №3,,,,,,,,,,,,,,
542,МБОУ Махач-кий многопрофильный лицей 39,,,,,,,,,,,,,,
543,МБОУ Многопроф-ая гим-ия 6 г.Махачкала,,,,,,,,,,,,,,
544,МБОУ Многопроф-я гим-ия 30_г. Махачкала,,,,,,,,,,,,,,
545,МБОУ Многопроф-я гим-ия 38_г. Махачкала,,,,,,,,,,,,,,
546,МБОУ Многопроф-я гим-ия 5_г. Махачкала,,,,,,,,,,,,,,
547,МБОУ Н.Дженгутайская СОШ Буйнакск. р-он,,,,,,,,,,,,,,
548,МБОУ Нижнеказани-ая СОШ 3 Буйн-ий р.,,,,,,,,,,,,,,
549,МБОУ Нижнеказан-кий многопроф-ый лицей,,,,,,,,,,,,,,
550,МБОУ Новокаякентская школа детсад_1_,,,,,,,,,,,,,,
551,МБОУ ООШ 23 г. Махачкала с. Остров-Чечень,,,,,,,,,,,,,,
552,МБОУ СОШ 3 г. Каспийск,МОУ СОШ №3,Городской округ город Южно-Сухокумск,Город,Южносухокумск,"Республика Дагестан, г. Южносухокумск","44,660247","45,649952",Спутник,1,"ПАО ""Ростелеком""",ВОЛС,100.0,,
553,МБОУ СОШ 1 г. Дербент,МОУ СОШ №1,Городской округ город Кизилюрт,Город,Кизилюрт,"Республика Дагестан, г. Кизилюрт ул. Первомайская, 59б","43,203825","46,872964",Медь,4,"ПАО ""Ростелеком""",ВОЛС,100.0,,
554,МБОУ СОШ 1 г. Каспийск,МОУ СОШ №1,Городской округ город Кизилюрт,Город,Кизилюрт,"Республика Дагестан, г. Кизилюрт ул. Первомайская, 59б","43,203825","46,872964",Медь,4,"ПАО ""Ростелеком""",ВОЛС,100.0,,
555,МБОУ СОШ 10 г. Махачкала,МОУ СОШ № 10,Городской округ город Хасавюрт,Город,Хасавюрт,"Республика Дагестан, г. Хасавюрт, ул. Датуева, 70","43,240517","46,601008",Медь,20,"ПАО ""Ростелеком""",ВОЛС,100.0,,
556,МБОУ СОШ 11 г. Дербент,МОУ СОШ № 11,Городской округ город Хасавюрт,Город,Хасавюрт,"Республика Дагестан, г. Хасавюрт, п. Мичурина, Автобусная ул, 1","43,251535","46,562296",Медь,20,"ПАО ""Ростелеком""",ВОЛС,100.0,,
557,МБОУ СОШ 12 г. Дербент,МОУ СОШ № 12,Городской округ город Хасавюрт,Город,Хасавюрт,"Республика Дагестан, г. Хасавюрт, ул.40 лет Октября","43,270317","46,591271",Медь,20,"ПАО ""Ростелеком""",ВОЛС,100.0,,
558,МБОУ СОШ 13 г. Дербент,МОУ СОШ № 13,Городской округ город Хасавюрт,Город,Хасавюрт,"Республика Дагестан, г. Хасавюрт, Махачкалинское ш., 29","43,234800","46,591271",Медь,20,"ПАО ""Ростелеком""",ВОЛС,100.0,,
559,МБОУ СОШ 14 г. Махачкала,МОУ СОШ № 14,Городской округ город Хасавюрт,Город,Хасавюрт,"Республика Дагестан, г. Хасавюрт, ул. Ярыксувская, 5","43,245279","46,571769",Медь,20,"ПАО ""Ростелеком""",ВОЛС,100.0,,
560,МБОУ СОШ 15 г. Дербент,МОУ СОШ № 15,Городской округ город Хасавюрт,Город,Хасавюрт,"Республика Дагестан, г. Хасавюрт, п. Бамматбекюрт, ул. Бригадная","43,270893","46,614961",Медь,20,"ПАО ""Ростелеком""",ВОЛС,100.0,,
561,МБОУ СОШ 15_им.Цахаева г. Махачкала,МОУ СОШ № 15,Городской округ город Хасавюрт,Город,Хасавюрт,"Республика Дагестан, г. Хасавюрт, п. Бамматбекюрт, ул. Бригадная","43,270893","46,614961",Медь,20,"ПАО ""Ростелеком""",ВОЛС,100.0,,
562,МБОУ СОШ 16 г. Дербент,МОУ СОШ № 16,Городской округ город Хасавюрт,Город,Хасавюрт,"Республика Дагестан, г. Хасавюрт, ул. Хизроева, 35","43,228458","46,608508",Медь,20,"ПАО ""Ростелеком""",ВОЛС,100.0,,
563,МБОУ СОШ 16_г. Махачкала,МОУ СОШ № 16,Городской округ город Хасавюрт,Город,Хасавюрт,"Республика Дагестан, г. Хасавюрт, ул. Хизроева, 35","43,228458","46,608508",Медь,20,"ПАО ""Ростелеком""",ВОЛС,100.0,,
564,МБОУ СОШ 17 г. Дербент,МОУ СОШ № 17,Городской округ город Хасавюрт,Город,Хасавюрт,"Республика Дагестан, г. Хасавюрт, ул. Новая, 2","43,222743","46,603792",Медь,20,"ПАО ""Ростелеком""",ВОЛС,100.0,,
565,МБОУ СОШ 18 г. Махачкала,МОУ СОШ №18,Городской округ город Махачкала,Город,Махачкала,"Республика Дагестан, г. Махачкала, ул. Казбекова, 157","42,984916","47,504718",Медь,15,"ПАО ""Ростелеком""",ВОЛС,100.0,,
566,МБОУ СОШ 20 им. Р. Гамзатова г.Дербент,МКОУ «СОШ №2»,Городской округ город Южно-Сухокумск,Город,Южно-сухокумск,"Республика Дагестан, г. Южно-Сухокумск, ул. Комарова, 3","44,657653","45,659281",Медь,15,"ПАО ""Ростелеком""",ВОЛС,100.0,,
567,МБОУ СОШ 21 г. Дербент РД,МКОУ «СОШ №2»,Городской округ город Южно-Сухокумск,Город,Южно-сухокумск,"Республика Дагестан, г. Южно-Сухокумск, ул. Комарова, 3","44,657653","45,659281",Медь,15,"ПАО ""Ростелеком""",ВОЛС,100.0,,
568,МБОУ СОШ 24 Махачкала,МКОУ «СОШ №2»,Городской округ город Южно-Сухокумск,Город,Южно-сухокумск,"Республика Дагестан, г. Южно-Сухокумск, ул. Комарова, 3","44,657653","45,659281",Медь,15,"ПАО ""Ростелеком""",ВОЛС,100.0,,
569,МБОУ СОШ 25 г. Махачкала,МКОУ «СОШ №2»,Городской округ город Южно-Сухокумск,Город,Южно-сухокумск,"Республика Дагестан, г. Южно-Сухокумск, ул. Комарова, 3","44,657653","45,659281",Медь,15,"ПАО ""Ростелеком""",ВОЛС,100.0,,
570,МБОУ СОШ 29,МКОУ «СОШ №2»,Городской округ город Южно-Сухокумск,Город,Южно-сухокумск,"Республика Дагестан, г. Южно-Сухокумск, ул. Комарова, 3","44,657653","45,659281",Медь,15,"ПАО ""Ростелеком""",ВОЛС,100.0,,
571,МБОУ СОШ 3 г. Дербент,МОУ СОШ №3,Городской округ город Южно-Сухокумск,Город,Южносухокумск,"Республика Дагестан, г. Южносухокумск","44,660247","45,649952",Спутник,1,"ПАО ""Ростелеком""",ВОЛС,100.0,,
572,МБОУ СОШ 31 г. Махачкала,МОУ СОШ №3,Городской округ город Южно-Сухокумск,Город,Южносухокумск,"Республика Дагестан, г. Южносухокумск","44,660247","45,649952",Спутник,1,"ПАО ""Ростелеком""",ВОЛС,100.0,,
573,МБОУ СОШ 32 г.Махачкала,МОУ СОШ №3,Городской округ город Южно-Сухокумск,Город,Южносухокумск,"Республика Дагестан, г. Южносухокумск","44,660247","45,649952",Спутник,1,"ПАО ""Ростелеком""",ВОЛС,100.0,,
574,МБОУ СОШ 34 г. Махачкала,МОУ СОШ №3,Городской округ город Южно-Сухокумск,Город,Южносухокумск,"Республика Дагестан, г. Южносухокумск","44,660247","45,649952",Спутник,1,"ПАО ""Ростелеком""",ВОЛС,100.0,,
575,МБОУ СОШ 36 г. Махачкала,МОУ СОШ №3,Городской округ город Южно-Сухокумск,Город,Южносухокумск,"Республика Дагестан, г. Южносухокумск","44,660247","45,649952",Спутник,1,"ПАО ""Ростелеком""",ВОЛС,100.0,,
576,МБОУ СОШ 40 г. Махачкала,"МКОУ ""СОШ №4""",Городской округ город Южно-Сухокумск,Город,Южно-сухокумск,"Республика Дагестан, г. Южно-Сухокумск, ул. Комарова, 8","44,656340","45,654839",Медь,15,"ПАО ""Ростелеком""",ВОЛС,100.0,,
577,МБОУ СОШ 42 г. Махачкала,"МКОУ ""СОШ №4""",Городской округ город Южно-Сухокумск,Город,Южно-сухокумск,"Республика Дагестан, г. Южно-Сухокумск, ул. Комарова, 8","44,656340","45,654839",Медь,15,"ПАО ""Ростелеком""",ВОЛС,100.0,,
578,МБОУ СОШ 43 г. Махачкала,"МКОУ ""СОШ №4""",Городской округ город Южно-Сухокумск,Город,Южно-сухокумск,"Республика Дагестан, г. Южно-Сухокумск, ул. Комарова, 8","44,656340","45,654839",Медь,15,"ПАО ""Ростелеком""",ВОЛС,100.0,,
579,МБОУ СОШ 44 г. Махачкала,"МКОУ ""СОШ №4""",Городской округ город Южно-Сухокумск,Город,Южно-сухокумск,"Республика Дагестан, г. Южно-Сухокумск, ул. Комарова, 8","44,656340","45,654839",Медь,15,"ПАО ""Ростелеком""",ВОЛС,100.0,,
580,МБОУ СОШ 45 г. Махачкала,"МКОУ ""СОШ №4""",Городской округ город Южно-Сухокумск,Город,Южно-сухокумск,"Республика Дагестан, г. Южно-Сухокумск, ул. Комарова, 8","44,656340","45,654839",Медь,15,"ПАО ""Ростелеком""",ВОЛС,100.0,,
581,МБОУ СОШ 46_г. Махачкала,"МКОУ ""СОШ №4""",Городской округ город Южно-Сухокумск,Город,Южно-сухокумск,"Республика Дагестан, г. Южно-Сухокумск, ул. Комарова, 8","44,656340","45,654839",Медь,15,"ПАО ""Ростелеком""",ВОЛС,100.0,,
582,МБОУ СОШ 47 г. Махачкала,"МКОУ ""СОШ №4""",Городской округ город Южно-Сухокумск,Город,Южно-сухокумск,"Республика Дагестан, г. Южно-Сухокумск, ул. Комарова, 8","44,656340","45,654839",Медь,15,"ПАО ""Ростелеком""",ВОЛС,100.0,,
583,МБОУ СОШ 48_г. Махачкала,"МКОУ ""СОШ №4""",Городской округ город Южно-Сухокумск,Город,Южно-сухокумск,"Республика Дагестан, г. Южно-Сухокумск, ул. Комарова, 8","44,656340","45,654839",Медь,15,"ПАО ""Ростелеком""",ВОЛС,100.0,,
584,МБОУ СОШ 5 с. Нижнее Казанище,МОУ СОШ № 5,Городской округ город Хасавюрт,Город,Хасавюрт,"Республика Дагестан, г. Хасавюрт, ул. Нурадилова 53","43,251661","46,596387",Медь,20,"ПАО ""Ростелеком""",ВОЛС,100.0,,
585,МБОУ СОШ 53 г. Махачкала,МОУ СОШ № 5,Городской округ город Хасавюрт,Город,Хасавюрт,"Республика Дагестан, г. Хасавюрт, ул. Нурадилова 53","43,251661","46,596387",Медь,20,"ПАО ""Ростелеком""",ВОЛС,100.0,,
586,МБОУ СОШ 55_г. Махачкала,МОУ СОШ № 5,Городской округ город Хасавюрт,Город,Хасавюрт,"Республика Дагестан, г. Хасавюрт, ул. Нурадилова 53","43,251661","46,596387",Медь,20,"ПАО ""Ростелеком""",ВОЛС,100.0,,
587,МБОУ СОШ 58_г. Махачкала,МОУ СОШ № 5,Городской округ город Хасавюрт,Город,Хасавюрт,"Республика Дагестан, г. Хасавюрт, ул. Нурадилова 53","43,251661","46,596387",Медь,20,"ПАО ""Ростелеком""",ВОЛС,100.0,,
588,МБОУ СОШ 6 г. Каспийск,МОУ СОШ №6,Городской округ город Дербент,Город,Дербент,"Республика Дагестан, г. Дербент, пл. Свободы, 11","42,057738","48,287963",Медь,12,"ПАО ""Ростелеком""",ВОЛС,100.0,,
589,МБОУ СОШ 6 г. Дербент,МОУ СОШ №6,Городской округ город Дербент,Город,Дербент,"Республика Дагестан, г. Дербент, пл. Свободы, 11","42,057738","48,287963",Медь,12,"ПАО ""Ростелеком""",ВОЛС,100.0,,
590,МБОУ СОШ 60 г. Махачкала,"МБОУ ""СОШ №60""",Городской округ город Махачкала,Поселок городского типа,Новотарки,"Республика Дагестан, г.Махачкала, пгт. Новотарки, ул. Морфлотная, 5","42,927700","47,515700",Медь,15,"ПАО ""Ростелеком""",ВОЛС,100.0,,
591,МБОУ СОШ 8 г. Дербент,МОУ СОШ № 8,Городской округ город Хасавюрт,Город,Хасавюрт,"Республика Дагестан, г. Хасавюрт, Ботаюртовское ш., 7","43,265169","46,597589",Медь,20,"ПАО ""Ростелеком""",ВОЛС,100.0,,
592,МБОУ СОШ 9 г. Дербент,МОУ СОШ № 9,Городской округ город Хасавюрт,Город,Хасавюрт,"Республика Дагестан, г. Хасавюрт, ул. С. Стальского, 27","43,267098","46,570679",Медь,20,"ПАО ""Ростелеком""",ВОЛС,100.0,,
593,МБОУ СОШ № 11 Г. КАСПИЙСКА,МОУ СОШ № 11,Городской округ город Хасавюрт,Город,Хасавюрт,"Республика Дагестан, г. Хасавюрт, п. Мичурина, Автобусная ул, 1","43,251535","46,562296",Медь,20,"ПАО ""Ростелеком""",ВОЛС,100.0,,
594,МБОУ СОШ № 14,МОУ СОШ № 14,Городской округ город Хасавюрт,Город,Хасавюрт,"Республика Дагестан, г. Хасавюрт, ул. Ярыксувская, 5","43,245279","46,571769",Медь,20,"ПАО ""Ростелеком""",ВОЛС,100.0,,
595,МБОУ СОШ № 2 Г. КАСПИЙСКА,МКОУ «СОШ №2»,Городской округ город Южно-Сухокумск,Город,Южно-сухокумск,"Республика Дагестан, г. Южно-Сухокумск, ул. Комарова, 3","44,657653","45,659281",Медь,15,"ПАО ""Ростелеком""",ВОЛС,100.0,,
596,МБОУ СОШ № 2 г. Буйнакск,МКОУ «СОШ №2»,Городской округ город Южно-Сухокумск,Город,Южно-сухокумск,"Республика Дагестан, г. Южно-Сухокумск, ул. Комарова, 3","44,657653","45,659281",Медь,15,"ПАО ""Ростелеком""",ВОЛС,100.0,,
597,МБОУ СОШ № 20 Г.ДЕРБЕНТ РД,МКОУ «СОШ №2»,Городской округ город Южно-Сухокумск,Город,Южно-сухокумск,"Республика Дагестан, г. Южно-Сухокумск, ул. Комарова, 3","44,657653","45,659281",Медь,15,"ПАО ""Ростелеком""",ВОЛС,100.0,,
598,МБОУ СОШ № 21 Г.ДЕРБЕНТ РД,МКОУ «СОШ №2»,Городской округ город Южно-Сухокумск,Город,Южно-сухокумск,"Республика Дагестан, г. Южно-Сухокумск, ул. Комарова, 3","44,657653","45,659281",Медь,15,"ПАО ""Ростелеком""",ВОЛС,100.0,,
599,МБОУ СОШ № 21 г.Махачкала,МКОУ «СОШ №2»,Городской округ город Южно-Сухокумск,Город,Южно-сухокумск,"Республика Дагестан, г. Южно-Сухокумск, ул. Комарова, 3","44,657653","45,659281",Медь,15,"ПАО ""Ростелеком""",ВОЛС,100.0,,
600,МБОУ СОШ № 3 Г. КАСПИЙСКА,МОУ СОШ №3,Городской округ город Южно-Сухокумск,Город,Южносухокумск,"Республика Дагестан, г. Южносухокумск","44,660247","45,649952",Спутник,1,"ПАО ""Ростелеком""",ВОЛС,100.0,,
601,МБОУ СОШ № 3 Г.ДЕРБЕНТ РД,МОУ СОШ №3,Городской округ город Южно-Сухокумск,Город,Южносухокумск,"Республика Дагестан, г. Южносухокумск","44,660247","45,649952",Спутник,1,"ПАО ""Ростелеком""",ВОЛС,100.0,,
602,МБОУ СОШ № 4 ДАГЕСТАНСКИЕ ОГНИ,"МКОУ ""СОШ №4""",Городской округ город Южно-Сухокумск,Город,Южно-сухокумск,"Республика Дагестан, г. Южно-Сухокумск, ул. Комарова, 8","44,656340","45,654839",Медь,15,"ПАО ""Ростелеком""",ВОЛС,100.0,,
603,МБОУ СОШ № 4,"МКОУ ""СОШ №4 п.Белиджи""",Дербентский район,Поселок,Белиджи,"Республика Дагестан, Дербентский район, п. Белиджи ул. Первомайская, 23а","41,510000","48,240000",Медь,4,"ПАО ""Ростелеком""",ВОЛС,50.0,,
