Район;Тип н п;Наименование нас пункта;Наименование;Адрес;ИНН;Контакты;Широта;Долгота;Тип учреждения;Тип подключения (сущ);Скорость подключения (сущ);Тип подключения (план);Скорость подключения (план)
Табасаранский район;Село;Гуми;МКОУ ГУМИНСКАЯ СОШ;Республика Дагестан, Табасаранский район, с. Гуми;;;41,894138;47,868855;;Медь;4.0;ВОЛС;50.0
Табасаранский район;Село;Гурик;МКОУ ГУРИКСКАЯ СОШ;Республика Дагестан, Табасаранский район, с. Гурик;;;41,962852;47,920843;;Медь;4.0;ВОЛС;50.0
Табасаранский район;Село;Дагни;МКОУ ДАГНИНСКАЯ ООШ;Республика Дагестан, Табасаранский район, с. Дагни;;;41,93161;47,911867;;Медь;4.0;ВОЛС;50.0
Табасаранский район;Село;Дарваг;МКОУ ДАРВАГСКАЯ СОШ №1;Республика Дагестан, Табасаранский район, с. Дарваг;;;42,021667;48,065278;;Медь;4.0;ВОЛС;50.0
Табасаранский район;Село;Дарваг;МКОУ ДАРВАГСКАЯ СОШ №2;Республика Дагестан, Табасаранский район, с. Дарваг;;;42,021667;48,065278;;Медь;4.0;ВОЛС;50.0
Магарамкентский район;Село;Джепель;МКОУ ДЖЕПЕЛЬСКАЯ ООШ;Республика Дагестан, Магарамкентский район, с. Джепель;;;41,550216;48,216852;;Медь;1.0;ВОЛС;50.0
Табасаранский район;Село;Джули;МКОУ ДЖУЛИНСКАЯ СОШ;Республика Дагестан, Табасаранский район, с. Джули;;;41,880521;47,85376;;Медь;4.0;ВОЛС;50.0
Хасавюртовский район;Село;Дзержинское;МКОУ ДЗЕРЖИНСКАЯ СОШ;Республика Дагестан, Хасавюртовский район, с. Дзержинское;;;43,518843;46,472581;;Медь;12.0;ВОЛС;50.0
Акушинский район;Село;Дубри;МКОУ ДУБРИМАХИНСКАЯ СОШ;Республика Дагестан, Акушинский район, с. Дубри;;;42,263511;47,290903;;Медь;4.0;ВОЛС;50.0
Новолакский район;Село;Дучи;МКОУ ДУЧИНСКАЯ СОШ №1;Республика Дагестан, Новолакский район, с. Дучи;;;43,129167;47,463333;;Медь;4.0;ВОЛС;50.0
Кизлярский район;Село;Заречное;МКОУ Зареченская СОШ Киз-ляр. рай;Республика Дагестан, Кизлярский район, с. Заречное;;;43,762629;46,582843;;Другое;1.0;ВОЛС;50.0
Сулейман-Стальский район;Село;Зизик;МКОУ ЗИЗИКСКАЯ СОШ;Республика Дагестан, Сулейман-стальский район, с. Зизик;;;41,725556;48,061389;;Медь;4.0;ВОЛС;50.0
Ботлихский район;Село;Зило;МКОУ ЗИЛОВСКАЯ СОШ;Республика Дагестан, Ботлихский район с. Зило;;;42,731915;46,319445;;Медь;4.0;ВОЛС;50.0
Акушинский район;Село;Зильмук;МКОУ ЗИЛЬМУКМАХИНСКАЯ ООШ;Республика Дагестан, Акушинский район, с. Зильмук;;;42,284511;47,395887;;Медь;4.0;ВОЛС;50.0
Табасаранский район;Село;Зиль;МКОУ ЗИЛЬСКАЯ СОШ;Республика Дагестан, Табасаранский район, с. Зиль;;;41,995539;48,034378;;Медь;4.0;ВОЛС;50.0
Унцукульский район;Село;Зирани;МКОУ Зиранинская СОШ;Республика Дагестан, Унцукульский район, с. Зирани;;;42,616944;46,945964;;Медь;4.0;ВОЛС;50.0
Шамильский район;Село;Зиуриб;МКОУ ЗИУРИБСКАЯ ООШ;Республика Дагестан, Шамильский район, с. Зиуриб;;;42,417435;46,704481;;Медь;4.0;ВОЛС;50.0
Кизилюртовский район;Село;Зубутли-Миатли;МКОУ ЗУБУТЛИ-МИАТЛИНСКАЯ СОШ;Республика Дагестан, Кизилюртовский район, с. Зубутли-Миатли;;;43,199681;46,81085;;Медь;4.0;ВОЛС;50.0
Левашинский район;Село;Зуримахи;МКОУ ЗУРИМАХИНСКАЯ ООШ;Республика Дагестан, Левашинский район с. Зуримахи;;;42,430556;47,494166;;Медь;4.0;ВОЛС;50.0
Сулейман-Стальский район;Село;Зухрабкент;МКОУ ЗУХРАБКЕНТСКАЯ ООШ;Республика Дагестан, Сулейман-стальский район, с. Зухрабкент;;;41,7;48,118056;;Медь;4.0;ВОЛС;50.0
Гумбетовский район;Село;Ингиши;МКОУ ИНГИШИНСКАЯ СОШ;Республика Дагестан, Гумбетовский район, с. Ингиши;;;42,774667;46,541685;;Медь;4.0;ВОЛС;50.0
Сулейман-Стальский район;Село;Испик;МКОУ ИСПИКСКАЯ ООШ;Республика Дагестан, Сулейман-стальский район, с. Испик;;;41,605;48,126389;;Медь;4.0;ВОЛС;50.0
Сулейман-Стальский район;Село;Испик;МКОУ ИСПИКСКАЯ СОШ;Республика Дагестан, Сулейман-стальский район, с. Испик;;;41,613056;48,191667;;Медь;4.0;ВОЛС;50.0
Курахский район;Село;Кабир;МКОУ КАБИРСКАЯ СОШ;Республика Дагестан, Курахский район, с. Кабир;;;41,560296;48,044758;;Медь;4.0;ВОЛС;50.0
Сергокалинский район;Село;Кадиркент;МКОУ КАДИРКЕНТСКАЯ СОШ;Республика Дагестан, Сергокалинский район, с. Кадиркент;;;42,495932;47,608994;;Медь;4.0;ВОЛС;50.0
Хасавюртовский район;Село;Кадыротар;МКОУ КАДЫРОТАРСКАЯ СОШ;Республика Дагестан, Хасавюртовский район, с. Кадыротар;;;43,440268;46,655074;;Медь;12.0;ВОЛС;50.0
Тарумовский район;Село;Калиновка;МКОУ КАЛИНОВСКАЯ СОШ;Республика Дагестан, Тарумовский район, с. Калиновка;;;43,96713;46,570142;;Медь;4.0;ВОЛС;50.0
Сергокалинский район;Село;Канасираги;МКОУ КАНАСИРАГИНСКАЯ СОШ;Республика Дагестан, Сергокалинский район, с. Канасираги;;;42,252305;47,649534;;Медь;4.0;ВОЛС;50.0
Кулинский район;Село;Кани;МКОУ КАНИНСКАЯ ООШ;Республика Дагестан, Кулинский район, с. Кани;;;42,139766;47,189655;;Медь;1.0;ВОЛС;50.0
Хивский район;Село;Канциль;МКОУ КАНЦИЛЬСКАЯ СОШ;Республика Дагестан, Хивский район, с. Канциль;;;41,751912;48,017315;;Спутник;1.0;ВОЛС;50.0
Ногайский район;Село;Карагас;МКОУ КАРАГАССКАЯ СОШ;Республика Дагестан, Ногайский район, с. Карагас;;;44,253459;45,383233;;Спутник;1.0;ВОЛС;50.0
Гунибский район;Село;Карадах;МКОУ КАРАДАХСКАЯ СОШ;Республика Дагестан, Гунибский район, с. Карадах;;;42,470992;46,864642;;Медь;4.0;ВОЛС;50.0
Докузпаринский район;Село;Каракюре;МКОУ КАРАКЮРИНСКАЯ СОШ;Республика Дагестан, Докузпаринский район, с. Каракюре;;;41,418041;47,962011;;Медь;4.0;ВОЛС;50.0
Левашинский район;Село;Карекадани;МКОУ КАРЕКАДАНИНСКАЯ СОШ;Республика Дагестан, Левашинский район с. Карекадани;;;42,356704;47,132164;;Медь;4.0;ВОЛС;50.0
Хасавюртовский район;Село;Карланюрт;МКОУ КАРЛАНЮРТОВСКАЯ СОШ;Республика Дагестан, Хасавюртовский район, с. Карланюрт;;;43,231324;46,646674;;Медь;12.0;ВОЛС;50.0
Кизлярский район;Село;Им. Карла Маркса;МКОУ Карломарксовская СОШ;Республика Дагестан, Кизлярский район, с. им. Карла Маркса;;;43,896276;46,789458;;Медь;4.0;ВОЛС;50.0
Магарамкентский район;Село;Картас-Казмаляр;МКОУ КАРТАСКАЗМАЛЯРСКАЯ СОШ;Республика Дагестан, Магарамкентский район, с. Картас-Казмаляр;;;41,817985;48,396082;;Медь;4.0;ВОЛС;50.0
Шамильский район;Село;Кахиб;МКОУ Кахибская СОШ;Республика Дагестан, Шамильский район, с. Кахиб;;;42,429002;46,596472;;Медь;4.0;ВОЛС;50.0
Сулейман-Стальский район;Село;Кахцуг;МКОУ КАХЦУГСКАЯ СОШ;Республика Дагестан, Сулейман-стальский район, с. Кахцуг;;;41,771667;48,371111;;Медь;4.0;ВОЛС;50.0
Сулейман-Стальский район;Село;Качалкент;МКОУ КАЧАЛКЕНТСКАЯ ООШ;Республика Дагестан, Сулейман-стальский район, с. Качалкент;;;41,603889;48,165;;Медь;4.0;ВОЛС;50.0
Ботлихский район;Село;Кванхидатли;МКОУ КВАНХИДАТЛИНСКАЯ ООШ;Республика Дагестан, Ботлихский район с. Кванхидатли;;;42,657827;46,271995;;Медь;4.0;ВОЛС;50.0
Курахский район;Село;Квардал;МКОУ КВАРДАЛСКАЯ ООШ;Республика Дагестан, Курахский район, с. Квардал;;;41,68013;47,563704;;Медь;4.0;ВОЛС;50.0
Гунибский район;Село;Кегер;МКОУ КЕГЕРСКАЯ СОШ;Республика Дагестан, Гунибский район, с. Кегер;;;42,376782;47,026142;;Медь;15.0;ВОЛС;50.0
Хасавюртовский район;Село;Кемсиюрт;МКОУ КЕМСИЮРТОВСКАЯ СОШ;Республика Дагестан, Хасавюртовский район, с. Кемсиюрт;;;43,43414;46,435817;;Медь;4.0;ВОЛС;50.0
Ботлихский район;Село;Кижани;МКОУ КИЖАНИНСКАЯ ООШ;Республика Дагестан, Ботлихский район с. Кижани;;;42,740654;46,365807;;Медь;4.0;ВОЛС;50.0
Гумбетовский район;Село;Килятль;МКОУ КИЛЯТЛИНСКАЯ СОШ;Республика Дагестан, Гумбетовский район, с. Килятль;;;42,704796;46,466274;;Медь;4.0;ВОЛС;50.0
Кизилюртовский район;Село;Кироваул;МКОУ КИРОВАУЛЬСКАЯ СОШ;Республика Дагестан, Кизилюртовский район, с. Кироваул;;;43,234969;46,842046;;Медь;4.0;ВОЛС;50.0
Сергокалинский район;Село;Кичи-Гамри;МКОУ КИЧИГАМРИНСКАЯ СОШ;Республика Дагестан, Сергокалинский район, с. Кичи-Гамри;;;42,313847;47,71063;;Медь;4.0;ВОЛС;50.0
Магарамкентский район;Село;Кличхан;МКОУ КЛИЧХАНСКАЯ ООШ;Республика Дагестан, Магарамкентский район, с. Кличхан;;;41,758556;48,422975;;Медь;4.0;ВОЛС;50.0
Хасавюртовский район;Село;Кокрек;МКОУ КОКРЕКСКАЯ СОШ;Республика Дагестан, Хасавюртовский район, с. Кокрек;;;43,237593;46,72454;;Медь;12.0;ВОЛС;50.0
Тарумовский район;Село;Коктюбей;МКОУ Коктюбейская ООШ;Республика Дагестан, Тарумовский район, с. Коктюбей;;;44,268124;46,739422;;Медь;4.0;ВОЛС;50.0
Гунибский район;Село;Корода;МКОУ КОРОДИНСКАЯ СОШ;Республика Дагестан, Гунибский район, с. Корода;;;42,44968;46,847429;;Медь;4.0;ВОЛС;50.0
Хасавюртовский район;Село;Костек;МКОУ КОСТЕКСКАЯ СОШ;Республика Дагестан, Хасавюртовский район, с. Костек;;;43,340336;46,85224;;Медь;12.0;ВОЛС;50.0
Кизлярский район;Село;Косякино;МКОУ Косякинская СОШ;Республика Дагестан, Кизлярский район, с. Косякино;;;43,902111;46,680555;;Медь;4.0;ВОЛС;50.0
Сергокалинский район;Село;Краснопартизанск;МКОУ КРАСНОПАРТИЗАНСКАЯ СОШ;Республика Дагестан, Сергокалинский район, с. Краснопартизанск;;;42,274652;48,01656;;Медь;4.0;ВОЛС;50.0
Шамильский район;Село;Куаниб;МКОУ КУАНИБСКАЯ ООШ;Республика Дагестан, Шамильский район, с. Куаниб;;;42,509589;46,613138;;Медь;4.0;ВОЛС;50.0
Хивский район;Село;Куг;МКОУ КУГСКАЯ СОШ ИМ.Б.БАЙРАМБЕКОВА;Республика Дагестан, Хивский район, с. Куг;;;41,7708;47,964243;;Спутник;1.0;ВОЛС;50.0
Гунибский район;Село;Кудали;МКОУ КУДАЛИНСКАЯ СОШ;Республика Дагестан, Гунибский район, с. Кудали;;;42,369453;47,075246;;Медь;4.0;ВОЛС;50.0
Гергебильский район;Село;Кудутль;МКОУ Кудутлинская СОШ Герг-й район;Республика Дагестан, Гергебильский район, с. Кудутль;;;42,577481;47,018895;;Медь;4.0;ВОЛС;50.0
Табасаранский район;Село;Кужник;МКОУ КУЖНИКСКАЯ СОШ;Республика Дагестан, Табасаранский район, с. Кужник;;;41,955832;47,820843;;Медь;4.0;ВОЛС;50.0
Левашинский район;Село;Кулибухна;МКОУ КУЛИБУХНИНСКАЯ ООШ;Республика Дагестан, Левашинский район с. Кулибухна;;;42,315896;47,18443;;Медь;4.0;ВОЛС;50.0
Кизилюртовский район;Село;Кульзеб;МКОУ КУЛЬЗЕБСКАЯ СОШ;Республика Дагестан, Кизилюртовский район, с. Кульзеб;;;43,172547;47,010804;;Медь;4.0;ВОЛС;50.0
Ногайский район;Село;Кумли;МКОУ КУМЛИНСКАЯ СОШ;Республика Дагестан, Ногайский район, с. Кумли;;;43,990557;46,064;;Спутник;1.0;ВОЛС;50.0
Курахский район;Село;Кумук;МКОУ КУМУКСКАЯ СОШ;Республика Дагестан, Курахский район, с. Кумук;;;41,835873;48,417846;;Медь;4.0;ВОЛС;50.0
Лакский район;Село;Кунды;МКОУ КУНДЫНСКАЯ СОШ;Республика Дагестан, Лакский район, с. Кунды.;;;42,268627;47,16524;;Медь;4.0;ВОЛС;50.0
Гумбетовский район;Село;Кунзах;МКОУ КУНЗАХСКАЯ ООШ;Республика Дагестан, Гумбетовский район, с. Кунзах;;;42,748534;46,664853;;Медь;4.0;ВОЛС;50.0
Табасаранский район;Село;Курек;МКОУ КУРЕКСКАЯ СОШ;Республика Дагестан, Табасаранский район, с. Курек;;;41,952696;47,859247;;Медь;4.0;ВОЛС;50.0
Табасаранский район;Село;Куркак;МКОУ КУРКАКСКАЯ СОШ;Республика Дагестан, Табасаранский район, с. Куркак;;;41,910821;47,973558;;Медь;4.0;ВОЛС;50.0
Лакский район;Село;Куркли;МКОУ КУРКЛИНСКАЯ СОШ;Республика Дагестан, Лакский район, с. Куркли.;;;42,282751;47,127189;;Медь;4.0;ВОЛС;50.0
Левашинский район;Село;Кутиша;МКОУ КУТИШИНСКАЯ СОШ;Республика Дагестан, Левашинский район с. Кутиша;;;42,423511;47,281759;;Медь;4.0;ВОЛС;50.0
Тляратинский район;Село;Кутлаб;МКОУ КУТЛАБСКАЯ СОШ;Республика Дагестан, Тляратинский район, с. Кутлаб;;;42,096451;46,329863;;Медь;4.0;ВОЛС;50.0
Курахский район;Село;Кутул;МКОУ КУТУЛЬСКАЯ ООШ;Республика Дагестан, Курахский район, с. Кутул;;;41,545124;47,966161;;Медь;4.0;ВОЛС;50.0
Курахский район;Село;Кучхюр;МКОУ КУЧХЮРСКАЯ СОШ;Республика Дагестан, Курахский район, с. Кучхюр;;;41,522944;47,865237;;Медь;4.0;ВОЛС;50.0
Хивский район;Село;Куштиль;МКОУ КУШТИЛЬСКАЯ СОШ;Республика Дагестан, Хивский район, с. Куштиль;;;41,830846;47,885829;;Спутник;1.0;ВОЛС;50.0
Карабудахкентский район;Село;Ленинкент;МКОУ ЛЕНИНКЕНТСКАЯ СОШ;Республика Дагестан, Карабудахкентский район, с. Ленинкент;;;42,484282;47,753398;;Медь;4.0;ВОЛС;50.0
Хивский район;Село;Ляхля;МКОУ ЛЯХЛИНСКАЯ СОШ;Республика Дагестан, Хивский район, с. Ляхля;;;41,882623;47,879227;;Спутник;1;ВОЛС;50.0
Кизлярский район;Село;Малая Арешевка;МКОУ Малоарешевская СОШ;Республика Дагестан, Кизлярский район, с. Малая Арешевка;;;44,021906;46,821466;;Спутник;1;ВОЛС;50.0
Сергокалинский район;Село;Мамааул;МКОУ МАММАУЛЬСКАЯ СОШ;Республика Дагестан, Сергокалинский район, с. Мамааул;;;42,316864;47,755321;;Медь;4;ВОЛС;50.0
Табасаранский район;Село;Марага;МКОУ МАРАГИНСКАЯ СОШ №1;Республика Дагестан, Табасаранский район, с. Марага;;;41,962778;48,117778;;Медь;4;ВОЛС;50.0
Табасаранский район;Село;Марага;МКОУ МАРАГИНСКАЯ СОШ №2;Республика Дагестан, Табасаранский район, с. Марага;;;41,962778;48,117778;;Медь;4;ВОЛС;50.0
Кизилюртовский район;Село;Мацеевка;МКОУ МАЦЕЕВСКАЯ СОШ;Республика Дагестан, Кизилюртовский район, с. Мацеевка;;;43,271044;46,982114;;Медь;4;ВОЛС;50.0
Гунибский район;Село;Мегеб;МКОУ МЕГЕБСКАЯ СОШ;Республика Дагестан, Гунибский район, с. Мегеб;;;42,252091;47,044883;;Медь;4;ВОЛС;50.0
Хивский район;Село;Межгюль;МКОУ МЕЖГЮЛЬСКАЯ СОШ;Республика Дагестан, Хивский район, с. Межгюль;;;41,805992;48,007123;;Спутник;1;ВОЛС;50.0
Ботлихский район;Село;Миаросо;МКОУ МИАРСИНСКАЯ СОШ;Республика Дагестан, Ботлихский район с. Миаросо;;;42,654384;46,174995;;Медь;4;ВОЛС;50.0
Кизилюртовский район;Село;Миатли;МКОУ МИАТЛИНСКАЯ СОШ;Республика Дагестан, Кизилюртовский район, с. Миатли;;;43,082867;46,828418;;Медь;4;ВОЛС;50.0
Сергокалинский район;Село;Миглакасимахи;МКОУ МИГЛАКАСИМАХИНСКАЯ СОШ;Республика Дагестан, Сергокалинский район, с. Миглакасимахи;;;42,339331;47,556718;;Медь;4;ВОЛС;50.0
Шамильский район;Село;Митлиуриб;МКОУ МИТЛИУРИБСКАЯ ООШ;Республика Дагестан, Шамильский район, с. Митлиуриб;;;42,437886;46,688843;;Медь;4;ВОЛС;50.0
Кизлярский район;Село;Михеевка;МКОУ Михеевская СОШ;Республика Дагестан, Кизлярский район, с. Михеевка;;;43,92762;46,667389;;Медь;4;ВОЛС;50.0
Гергебильский район;Село;Могох;МКОУ Могохская СОШ;Республика Дагестан, Гергебильский район, с. Могох;;;42,561096;46,917076;;Медь;4;ВОЛС;50.0
Городской округ город Кизляр;Город;Кизляр;МКОУ МПЛ_2;Республика Дагестан, г. Кизляр, ул. Набережная, 1;;;43,853613;46,724737;;Медь;15;ВОЛС;100.0
Гергебильский район;Село;Мурада;МКОУ Мурадинская СОШ Герг-й район;Республика Дагестан, Гергебильский район, с. Мурада;;;42,444709;46,954828;;Медь;4;ВОЛС;50.0
Сергокалинский район;Село;Мургук;МКОУ МУРГУКСКАЯ СОШ;Республика Дагестан, Сергокалинский район, с. Мургук;;;42,265676;47,695754;;Медь;4;ВОЛС;50.0
Хасавюртовский район;Село;Муцалаул;МКОУ МУЦАЛАУЛЬСКАЯ СОШ № 1;Республика Дагестан, Хасавюртовский район, с. Муцалаул;;;43,268952;46,731299;;Медь;12;ВОЛС;50.0
Хасавюртовский район;Село;Муцалаул;МКОУ МУЦАЛАУЛЬСКАЯ СОШ № 2;Республика Дагестан, Хасавюртовский район, с. Муцалаул;;;43,268952;46,731299;;Медь;12;ВОЛС;50.0
Тляратинский район;Село;Начада;МКОУ НАЧАДИНСКАЯ СОШ;Республика Дагестан, Тляратинский район, с. Начада;;;42,198272;46,448959;;Спутник;1;ВОЛС;50.0
Сергокалинский район;Село;Н.Махарги;МКОУ НИЖНЕМАХАРГИНСКАЯ СОШ;Республика Дагестан, Сергокалинский район, с. Н.Махарги;;;42,329761;47,634957;;Медь;4;ВОЛС;50.0
Сергокалинский район;Село;Н.Мулебки;МКОУ НИЖНЕМУЛЕБКИНСКАЯ СОШ;Республика Дагестан, Сергокалинский район, с. Н.Мулебки;;;42,328128;47,567686;;Медь;4;ВОЛС;50.0
Левашинский район;Село;Нижнее-Убеки;МКОУ НИЖНЕ-УБЕКИНСКАЯ ООШ;Республика Дагестан, Левашинский район с. Нижнее-убеки;;;42,391667;47,209722;;Медь;4;ВОЛС;50.0
Кизлярский район;Село;Н.Бирюзяк;МКОУ Новобирюзякская СОШ;Республика Дагестан, Кизлярский район, с. Н.-Бирюзяк;;;43,770802;47,309402;;Спутник;1;ВОЛС;50.0
Кизлярский район;Село;Нововладимировка;МКОУ Нововладимировская СОШ;Республика Дагестан, Кизлярский район, Черняевская с/а, с. Нововладимировка;;;43,913419;46,950694;;Медь;4;ВОЛС;50.0
Хасавюртовский район;Село;Новогагатли;МКОУ НОВОГАГАТЛИНСКАЯ СОШ;Республика Дагестан, Хасавюртовский район, с. Новогагатли;;;43,458912;46,480919;;Медь;12;ВОЛС;50.0
Кизилюртовский район;Село;Зубутли-Миатли;МКОУ НОВОЗУБУТЛИНСКАЯ СОШ;Республика Дагестан, Кизилюртовский район, с. Зубутли-Миатли;;;43,071357;46,836838;;Медь;4;ВОЛС;50.0
Хасавюртовский район;Село;Ново-Костек;МКОУ НОВОКОСТЕКСКАЯ СОШ;Республика Дагестан, Хасавюртовский район, с. Ново-Костек;;;43,340336;46,85224;;Медь;12;ВОЛС;50.0
Кизлярский район;Село;Новокрестьяновка;МКОУ Новокрестьяновская СОШ;Республика Дагестан, Кизлярский район, с. Новокрестьяновка;;;43,883166;46,569093;;Медь;4;ВОЛС;50.0
Новолакский район;Село;Новокули;МКОУ НОВОКУЛИНСКАЯ СОШ №1;Республика Дагестан, Новолакский район, с. Новокули;;;43,163611;46,522222;;Медь;4;ВОЛС;50.0
Кизлярский район;Село;Новомонастырское;МКОУ Новомонастырская СОШ;Республика Дагестан, Кизлярский район, с. Новомонастырское;;;43,865856;46,607824;;Медь;4;ВОЛС;50.0
Сергокалинский район;Село;Новомугри;МКОУ НОВОМУГРИНСКАЯ СОШ;Республика Дагестан, Сергокалинский район, с. Новомугри;;;42,474302;47,754936;;Медь;4;ВОЛС;50.0
Тарумовский район;Село;Ново-Романовка;МКОУ Новоромановская СОШ;Республика Дагестан, Тарумовский район, с. Ново-Романовка;;;43,95778;46,644322;;Медь;4;ВОЛС;50.0
Хасавюртовский район;Село;Новосаситли;МКОУ НОВОСАСИТЛИНСКАЯ СОШ;Республика Дагестан, Хасавюртовский район, с. Новосаситли;;;43,385126;46,584937;;Медь;12;ВОЛС;50.0
Хасавюртовский район;Село;Новосельское;МКОУ НОВОСЕЛЬСКАЯ СОШ;Республика Дагестан, Хасавюртовский район, с. Новосельское;;;43,432499;46,471826;;Медь;12;ВОЛС;50.0
Кизлярский район;Село;Новая Серебряковка;МКОУ Новосеребряковская СОШ;Республика Дагестан, Кизлярский район, с. Новая Серебряковка;;;43,991103;46,978289;;Медь;4;ВОЛС;50.0
Дахадаевский район;Село;Новоуркарах;МКОУ НОВОУРКАРАХСКАЯ СОШ;Республика Дагестан, Дахадаевский район, с. Новоуркарах;;;42,159778;47,633985;;Медь;4;ВОЛС;50.0
Хивский район;Село;Н.-Фриг;МКОУ НОВО-ФРИГСКАЯ СОШ;Республика Дагестан, Хивский район, с. Н.- Фриг;;;41,852686;48,356357;;Спутник;1;ВОЛС;50.0
Кизилюртовский район;Село;Новый Чиркей;МКОУ НОВОЧИРКЕЙСКАЯ СОШ №1;Республика Дагестан, Кизилюртовский район, с. Новый Чиркей;;;43,165965;47,057893;;Медь;4;ВОЛС;50.0
Кизилюртовский район;Село;Новый Чиркей;МКОУ НОВОЧИРКЕЙСКАЯ СОШ №2;Республика Дагестан, Кизилюртовский район, с. Новый Чиркей;;;43,158512;47,047556;;Медь;4;ВОЛС;50.0
Сулейман-Стальский район;Село;Нютюг;МКОУ НЮТЮГСКАЯ СОШ;Республика Дагестан, Сулейман-стальский район, с. Нютюг;;;41,613056;48,191667;;Медь;4;ВОЛС;50.0
Гунибский район;Село;Обох;МКОУ ОБОХСКАЯ СОШ;Республика Дагестан, Гунибский район, с. Обох;;;42,28374;47,037711;;Медь;4;ВОЛС;50.0
Кизлярский район;Село;Огузер;МКОУ Огузерская СОШ;Республика Дагестан, Кизлярский район, с. Огузер;;;44,049468;47,060844;;Медь;4;ВОЛС;50.0
Хасавюртовский район;Село;Октябрьское;МКОУ ОКТЯБРЬСКАЯ СОШ;Республика Дагестан, Хасавюртовский район, с. Октябрьское;;;43,484808;46,436643;;Медь;12;ВОЛС;50.0
Ногайский район;Село;Орта-Тюбе;МКОУ ОРТАТЮБИНСКАЯ СОШ;Республика Дагестан, Ногайский район, с. Орта-Тюбе;;;44,242523;45,280111;;Спутник;1;ВОЛС;50.0
Хасавюртовский район;Село;Османюрт;МКОУ ОСМАНЮРТОВСКАЯ СОШ;Республика Дагестан, Хасавюртовский район, с. Османюрт;;;43,305114;46,527755;;Медь;12;ВОЛС;50.0
Табасаранский район;Село;Пилиг;МКОУ ПИЛИГСКАЯ СОШ;Республика Дагестан, Табасаранский район, с. Пилиг;;;41,972585;47,865555;;Медь;4;ВОЛС;50.0
Кизлярский район;Село;Южное;МКОУ ПОБЕДОВСКАЯ СОШ;Республика Дагестан, Кизлярский район, с. Южное;;;43,816136;46,724534;;Медь;4;ВОЛС;50.0
Хасавюртовский район;Село;Покровское;МКОУ ПОКРОВСКАЯ СОШ;Республика Дагестан, Хасавюртовский район, с. Покровское;;;43,286676;46,665357;;Медь;12;ВОЛС;50.0
Тарумовский район;Поселок;Привольный;МКОУ ПРИВОЛЬНЕНСКАЯ СОШ;Республика Дагестан, Тарумовский район, п. Привольный;;;44,101575;46,656678;;Медь;4;ВОЛС;50.0
Сулейман-Стальский район;Село;Птикент;МКОУ ПТИКЕНТСКАЯ ООШ;Республика Дагестан, Сулейман-стальский район, с. Птикент;;;41,583611;48,108889;;Медь;4;ВОЛС;50.0
Хасавюртовский район;Село;Пятилетка;МКОУ ПЯТИЛЕТКИНСКАЯ СОШ;Республика Дагестан, Хасавюртовский район, с. Пятилетка;;;43,372584;46,966689;;Медь;12;ВОЛС;50.0
Тарумовский район;Село;Рассвет;МКОУ РАССВЕТОВСКАЯ СОШ;Республика Дагестан, Тарумовский район, с. Рассвет;;;43,981299;46,709581;;Медь;4;ВОЛС;50.0
Шамильский район;Село;Ратлуб;МКОУ Ратлубская СОШ;Республика Дагестан, Шамильский район, с. Ратлуб;;;42,358012;46,434517;;Медь;4;ВОЛС;50.0
Ботлихский район;Село;Риквани;МКОУ РИКВАНИНСКАЯ СОШ;Республика Дагестан, Ботлихский район с. Риквани;;;42,781727;46,319167;;Медь;4;ВОЛС;50.0
Шамильский район;Село;Ругельда;МКОУ Ругельдинская СОШ;Республика Дагестан, Шамильский район, с. Ругельда;;;42,315906;46,524502;;Медь;4;ВОЛС;50.0
Гунибский район;Село;Ругуджа;МКОУ РУГУДЖИНСКАЯ СОШ;Республика Дагестан, Гунибский район, с. Ругуджа;;;42,360312;46,91868;;Медь;4;ВОЛС;50.0
Кизлярский район;Село;Рыбалко;МКОУ Рыбалкинская СОШ;Республика Дагестан, Кизлярский район, с. Рыбалко;;;43,782585;46,655888;;Медь;4;ВОЛС;50.0
Хасавюртовский район;Село;Садовое;МКОУ САДОВАЯ СОШ;Республика Дагестан, Хасавюртовский район, с. Садовое;;;43,340413;46,773193;;Медь;12;ВОЛС;50.0
Сулейман-Стальский район;Село;Сайтаркент;МКОУ САЙТАРКЕНТСКАЯ ООШ;Республика Дагестан, Сулейман-стальский район, с. Сайтаркент;;;41,586389;48,126944;;Медь;4;ВОЛС;50.0
Кизлярский район;Село;Сангиши;МКОУ Сангишинская ООШ;Республика Дагестан, Кизлярский район, с. Сангиши;;;43,898957;47,032101;;Медь;4;ВОЛС;50.0
Сулейман-Стальский район;Село;Сардаркент;МКОУ САРДАРКЕНТСКАЯ СОШ;Республика Дагестан, Сулейман-стальский район, с. Сардаркент;;;41,725556;48,061389;;Медь;4;ВОЛС;50.0
Кизлярский район;Село;Сар-Сар;МКОУ Сар-Сарская СОШ;Республика Дагестан, Кизлярский район, с. Сар-Сар;;;43,969443;47,077511;;Медь;4;ВОЛС;50.0
Табасаранский район;Село;Сертиль;МКОУ СЕРТИЛЬСКАЯ СОШ;Республика Дагестан, Табасаранский район, с. Сертиль;;;41,924046;47,864541;;Медь;4;ВОЛС;50.0
Кизлярский район;Поселок;Юбилейный;МКОУ Совхозная СОШ 6 с.Юбилейное;Республика Дагестан, Кизлярский район, п. Юбилейный;;;43,874818;46,730352;;Медь;4;ВОЛС;50.0
