,Район,Тип н п,Наименование нас пункта,Наименование,Адрес,ИНН,Контакты,Широта,Долгота,Тип учреждения,Тип подключения (сущ),Скорость подключения (сущ),Тип подключения (план),Скорость подключения (план)
341,Бабаюртовский район,Село,Туршунай,МКОУ ТУРШУНАЙСКАЯ СОШ ,"Республика Дагестан, Бабаюртовский район, с. Туршунай, ул. Имама Шамиля, 58",505002779.0,,"43,597929","46,664752",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
342,Новолакский район,Село,Тухчар,МКОУ ТУХЧАРСКАЯ ООШ ,"Республика Дагестан, Новолакский район, с. Тухчар, ул. Седьмая, 1",524004860.0,,"43,219401","46,414077",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
343,Кумторкалинский район,Село,Тюбе,МКОУ Тюбинская СОШ ,"Республика Дагестан, Кумторкалинский район, с. Тюбе",,,"43,054218","47,286324",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
344,Дербентский район,Село,Уллутеркеме,МКОУ УЛЛУ - ТЕРКЕМЕНСКАЯ СОШ ,"Республика Дагестан, Дербентский район, с. Уллутеркеме",512011661.0,,"42,216994","48,008812",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
345,Левашинский район,Село,Уллуая,МКОУ УЛЛУАИНСКАЯ СОШ ,"Республика Дагестан, Левашинский район с. Уллуая, ул. Школьная, д. 2",521008538.0,,"42,370736","47,375917",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
346,Дахадаевский район,Село,Уркарах,МКОУ УНШ-ДЕТСКИЙ САД ,"Республика Дагестан, Дахадаевский район, с. Уркарах, ул. Участников Войны, дом 79",,,"42,157157","47,628618",Общеобразовательная организация,Медь,15.0,ВОЛС,50.0
347,Дахадаевский район,Село,Ураги,МКОУ УРАГИНСКАЯ СОШ ,"Республика Дагестан, Дахадаевский район, с. Ураги",511003153.0,,"42,067793","47,56937",Общеобразовательная организация,Спутник,1.0,ВОЛС,50.0
348,Дахадаевский район,Село,Урари,МКОУ УРАРИНСКАЯ С,"Республика Дагестан, Дахадаевский район, с. Урари, ул. Расима Абдуллаева, д. 3",511002865.0,,"42,098846","47,454538",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
349,Левашинский район,Село,Урма,МКОУ УРМИНСКАЯ ООШ ,"Республика Дагестан, Левашинский район с. Урма, ул. А. Т. Магомедова, д. 5",521008496.0,,"42,531724","47,301519",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
350,Левашинский район,Село,Урма,МКОУ УРМИНСКАЯ СОШ ,"Республика Дагестан, Левашинский район с. Урма, ул. Р. Динмагомедова, д. 88",521008471.0,,"42,538405","47,283468",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
351,Дахадаевский район,Село,Урцаки,МКОУ УРЦАКИНСКАЯ ООШ ,"Республика Дагестан, Дахадаевский район, с. Урцаки",511002760.0,,"42,09977","47,563053",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
352,Каякентский район,Село,Усемикент,МКОУ УС,"Республика Дагестан, Каякентский район, с. Усемикент",515013530.0,,"42,387896","47,867893",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
353,Каякентский район,Село,Усемикент,МКОУ УСЕМИКЕНТСКАЯ СОШ ,"Республика Дагестан, Каякентский район, с. Усемикент",515013530.0,,"42,387896","47,867893",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
354,Бабаюртовский район,Село,Уцми-Юрт,МКОУ УЦМИЮРТОВСКАЯ СОШ ,"Республика Дагестан, Бабаюртовский район, с. Уцмиюрт, ул. Омарова, 13",505002747.0,,"43,534726","46,468601",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
355,Кумторкалинский район,Село,Учкент,МКОУ УЧКЕНТСКАЯ СОШ ,"Республика Дагестан, Кумторкалинский район, с. Учкент",552002568.0,,"43,113294","47,082179",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
356,Ахтынский район,Село,Фий,МКОУ ФИЙСКАЯ СОШ ,"Республика Дагестан, Ахтынский район, с. Фий",,,"41,289128","47,564456",Общеобразовательная организация,Спутник,1.0,ВОЛС,50.0
357,Левашинский район,Село,Хаджалмахи,МКОУ ХАДЖАЛМАХИНСКАЯ ООШ ,"Республика Дагестан, Левашинский район с. Хаджалмахи, ул. Н.Османова, 5",521009806.0,,"42,422335","47,184985",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
358,Левашинский район,Село,Хаджалмахи,МКОУ ХАДЖАЛМАХИНСКАЯ СОШ ,"Республика Дагестан, Левашинский район с. Хаджалмахи, ул. Булатова, 1",521009796.0,,"42,418827","47,178771",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
359,Дербентский район,Село,Хазар,МКОУ ХАЗАРСКАЯ СОШ ,"Республика Дагестан, Дербентский район, с. Хазар",512011485.0,,"41,993559","48,337219",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
360,Кулинский район,Село,Хайми,МКОУ ХАЙМИНСКАЯ НОШ ,"Республика Дагестан, Кулинский район, с. Хайми, ул Школьная, 4",,,"42,09326","47,20988",Общеобразовательная организация,Отсутствует,0.0,ВОЛС,50.0
361,Буйнакский район,Село,Халимбекаул,МКОУ ХАЛИМБЕКАУЛЬСКАЯ СОШ ,"Республика Дагестан, Буйнакский район, с. Халимбекаул, ул.Школьная д.2",507020082.0,,"42,83988","47,14643",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
362,Хасавюртовский район,Село,Хамавюрт,МКОУ ХАМАВЮРТОВСКАЯ СОШ ,"Республика Дагестан, Хасавюртовский район, с. Хамавюрт, ул. им. Аджиева А.М., 34",534024960.0,,"43,164","46,2538",Общеобразовательная организация,Медь,12.0,ВОЛС,50.0
363,Бабаюртовский район,Село,Хамаматюрт,МКОУ ХАМАМАТЮРТОВСКАЯ СОШ №1 ,"Республика Дагестан, Бабаюртовский район, с. Хамаматюрт, ул. Абдуллаева Б.Д., 1",,,"43,606389","46,502222",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
364,Табасаранский район,Село,Ханаг,МКОУ Ханагская СОШ ,"Республика Дагестан, Табасаранский район, с. Ханаг, ул. Ханагская, д.157",530006520.0,,"41,583464","47,534479",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
365,Табасаранский район,Село,Хапиль,МКОУ ХАПИЛЬСКАЯ СОШ ,"Республика Дагестан, Табасаранский район, с. Хапиль, ул. Школьная, 4",530007918.0,,"41,59881","47,582611",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
366,Дахадаевский район,Село,Харбук,МКОУ ХАРБУКСКАЯ СОШ ,"Республика Дагестан, Дахадаевский район, с. Харбук",511002939.0,,"42,158969","47,531161",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
367,Левашинский район,Село,Хахита,МКОУ ХАХИТИНСКАЯ СОШ ,"Республика Дагестан, Левашинский район с. Хахита, ул. Керимова, д. 16",521008369.0,,"42,462853","47,274055",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
368,Шамильский район,Село,Хебда,МКОУ Хебдинская СОШ ,"Республика Дагестан, Шамильский район, с. Хебда, ул.Шамиля д.15",528005920.0,,"42,442595","46,551353",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
369,Хивский район,Село,Хив,МКОУ ХИВСКАЯ СОШ ИМ.М.ШАМХАЛОВА ,"Республика Дагестан, Хивский район, с. Хив, ул. Ломоносова, 5",535003829.0,,"41,451292",47560426,Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
370,Гунибский район,Село,Хиндах,МКОУ ХИНДАХСКАЯ СОШ ,"Республика Дагестан, Гунибский район, с. Хиндах, ул. Школьная, д. 8",510008409.0,,"42,40305","46,96425",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
371,Ахтынский район,Село,Хкем,МКОУ ХКЕМСКАЯ ООШ ,"Республика Дагестан, Ахтынский район, с. Хкем",,,"41,473056","47,760556",Общеобразовательная организация,Медь,15.0,ВОЛС,50.0
372,Ахтынский район,Село,Хнов,МКОУ ХНОВСКАЯ СОШ ,"Республика Дагестан, Ахтынский район, с. Хнов",,,"41,377994","47,444516",Общеобразовательная организация,Спутник,1.0,ВОЛС,50.0
373,Магарамкентский район,Село,Ходжа-Казмаляр,МКОУ ХОДЖАКАЗМАЛЯРСКАЯ СОШ ,"Республика Дагестан, Магарамкентский район, с. Ходжа-Казмаляр, ул. Школьная, 2",523000703.0,,"41,729557","48,440358",Общеобразовательная организация,Медь,1.0,ВОЛС,50.0
374,Магарамкентский район,Село,Хорель,МКОУ ХОРЕЛЬСКАЯ СОШ ,"Республика Дагестан, Магарамкентский район, с. Хорель, ул. Багаудинова, 2",523000439.0,,"41,55978","48,25896",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
375,Кулинский район,Село,Хосрех,МКОУ ХОСРЕХСКАЯ СОШ ,"Республика Дагестан, Кулинский район, с. Хосрех, ул. А.Султана, 54",518001596.0,,"41,99094","47,27571",Общеобразовательная организация,Спутник,4.0,ВОЛС,50.0
376,Гунибский район,Село,Хоточ,МКОУ ХОТОЧИНСКАЯ СОШ ,"Республика Дагестан, Гунибский район, с. Хоточ, ул. Хоточинская, 254",510008416.0,,"42,40828","46,95096",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
377,Ахтынский район,Село,Хрюг,МКОУ ХРЮГСКАЯ СОШ ,"Республика Дагестан, Ахтынский район, с. Хрюг, улица Молла Магомеда, 76",504006210.0,,"41,47546","48,01735",Общеобразовательная организация,Медь,15.0,ВОЛС,50.0
378,Магарамкентский район,Село,Хтун-Казмаляр,МКОУ ХТУНКАЗМАЛЯРСКАЯ ООШ ,"Республика Дагестан, Магарамкентский район, с. Хтун-Казмаляр, ул. Хаджи-Давуда, 15",,,"41,811528","48,524788",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
379,Агульский район,Село,Худиг,МКОУ ХУДИГСКАЯ СОШ ,"Республика Дагестан, Агульский район, с. Худиг",,,"41,853682","47,656574",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
380,Дахадаевский район,Село,Худуц,МКОУ ХУДУЦСКАЯ С,"Республика Дагестан, Дахадаевский район, с. Худуц",,,"41,96634","47,513166",Общеобразовательная организация,Спутник,1.0,ВОЛС,50.0
381,Хунзахский район,Село,Хунзах,МКОУ Хунзахская СОШ ,"Республика Дагестан, Хунзахский район, с. Хунзах, ул. Магомедмирза Хизроева, д. 11",536006170.0,,"42,543","46,705",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
382,Табасаранский район,Село,Хурик,МКОУ ХУРИКСКАЯ СОШ ИМ. Р.ГАСАНОВА ,"Республика Дагестан, Табасаранский район, с. Хурик, ул. Школьная, д.25",530005290.0,,"41,599492","47,535125",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
383,Дахадаевский район,Село,Хуршни,МКОУ ХУРШНИНСКАЯ СОШ ,"Республика Дагестан, Дахадаевский район, с. Хуршни",511003001.0,,"42,14179","47,489579",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
384,Гунибский район,Село,Хутни,МКОУ ХУТНИБСКАЯ СОШ ,"Республика Дагестан, Гунибский район, с. Хутни,  ул. Хутнибская,  40",510008590.0,,"42,35287","46,95285",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
385,Агульский район,Село,Хутхул,МКОУ ХУТХУЛЬСКАЯ СОШ ,"Республика Дагестан, Агульский район, с. Хутхул",501001894.0,,"41,476582","47,36579",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
386,Табасаранский район,Село,Хучни,МКОУ Хучнинская СОШ 1 ,"Республика Дагестан, Табасаранский район, с. Хучни, ул. Айдемирова, д.21",,,"41,565259","47,564628",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
387,Табасаранский район,Село,Хучни,МКОУ ХУЧНИНСКАЯ СОШ №2 ,"Республика Дагестан, Табасаранский район, с. Хучни, ул. А.Джафарова, д.3А",530007844.0,,"41,574568","47,578361",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
388,Дахадаевский район,Село,Цизгари,МКОУ ЦИЗГАРИНСКАЯ ООШ ,"Республика Дагестан, Дахадаевский район, с. Цизгари",,,"42,219793","47,648174",Общеобразовательная организация,Спутник,1.0,ВОЛС,50.0
389,Левашинский район,Село,Цудахар,МКОУ ЦУДАХАРСКАЯ СОШ ,"Республика Дагестан, Левашинский район с. Цудахар, ул. Кара Караева, д. 5",521010470.0,,"42,346677","47,16389",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
390,Хивский район,Село,Цудук,МКОУ ЦУДУКСКАЯ ООШ ,"Республика Дагестан, Хивский район, с. Цудук",,,"41,782927","47,89499",Общеобразовательная организация,Спутник,1.0,ВОЛС,50.0
391,Чародинский район,Село,Цуриб,МКОУ Цурибская СОШ ,"Республика Дагестан, Чародинский район, с. Цуриб, ул. Магомедова Хабиба, 1",539003562.0,,"42,141994","46,50006",Общеобразовательная организация,Медь,15.0,ВОЛС,50.0
392,Табасаранский район,Село,Цуртиль,МКОУ ЦУРТИЛЬСКАЯ СОШ ,"Республика Дагестан, Табасаранский район, с. Цуртиль, ул. Школьная, 8А",530008559.0,,"41,551354","47,561172",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
393,Буйнакский район,Село,Чабанмахи,МКОУ Чабанмахинская СОШ ,"Республика Дагестан, Буйнакский район, с. Чабанмахи, ул. Школьная, 1",507004161.0,,"42,6367","47,2578",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
394,Гергебильский район,Село,Чалда,МКОУ Чалдинская СОШ ,"Республика Дагестан, Гергебильский район, с. Чалда, ул. И.Шамиля, 37",508008793.0,,"42,321306","46,545251",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
395,Буйнакский район,Село,Чанкурбе,МКОУ Чанкурбенская СОШ ,"Республика Дагестан, Буйнакский район, с. Чанкурбе, ул. Центральная",507020290.0,,"42,6286","47,3179",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
396,Новолакский район,Село,Чапаево,МКОУ ЧАПАЕВСКАЯ СОШ №1 ,"Республика Дагестан, Новолакский район, с. Чапаево, ул. Одинадцатая, 7",524005133.0,,"43,111018","46,485255",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
397,Новолакский район,Село,Чапаево,МКОУ ЧАПАЕВСКАЯ СОШ №2 ,"Республика Дагестан, Новолакский район, с. Чапаево, ул. Школьная, 5",524008889.0,,"43,068469","46,44806",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
398,Новолакский район,Село,Чаравали,МКОУ ЧАРАВАЛИНСКАЯ СОШ ,"Республика Дагестан, Новолакский район, с. Чаравали, ул. Висханова, 1",524008582.0,,"43,16077","46,503327",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
399,Магарамкентский район,Село,Чахчах-Казмаляр,МКОУ ЧАХЧАХ-КАЗМАЛЯРСКАЯ СОШ ,"Республика Дагестан, Магарамкентский район, с. Чахчах-Казмаляр, ул. С.Стальского, 1",523000284.0,,"41,764684","48,497345",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
400,Хивский район,Село,Чиликар,МКОУ ЧИЛИКАРСКАЯ ООШ ,"Республика Дагестан, Хивский район, с. Чиликар",535003811.0,,"41,742396","48,06637",Общеобразовательная организация,Спутник,1.0,ВОЛС,50.0
401,Дербентский район,Село,Чинар,МКОУ ЧИНАРСКАЯ СОШ № 1 ,"Республика Дагестан, Дербентский район, с. Чинар, ул. Ленина, 3",512011580.0,,"42,063218","48,084879",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
402,Дербентский район,Село,Чинар,МКОУ ЧИНАРСКАЯ СОШ № 2 ,"Республика Дагестан, Дербентский район, с. Чинар ,ул. Некрасова, 22",512011767.0,,"42,062021","48,083384",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
403,Акушинский район,Село,Чинимахи,МКОУ ЧИНИМАХИНСКАЯ ООШ ,"Республика Дагестан, Акушинский район,с.Чинимахи, ул. Школьная, 7",502005387.0,,"42,163905","47,223055",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
404,Агульский район,Село,Чираг,МКОУ ЧИРАГСКАЯ СОШ ,"Республика Дагестан, Агульский район, с. Чираг.",,,"41,837017","47,431816",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
405,Гумбетовский район,Село,Чирката,МКОУ ЧИРКАТИНСКАЯ СОШ ,"Республика Дагестан, Гумбетовский район, с. Чирката, ул.Им Имама Газимагомеда, д.22",509006608.0,,"42,47","46,4306",Общеобразовательная организация,Спутник,1.0,ВОЛС,50.0
406,Дахадаевский район,Село,Чишили,МКОУ ЧИШИЛИНСКАЯ СОШ ,"Республика Дагестан, Дахадаевский район, с. Чишили",511003185.0,,"42,150348","47,666629",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
407,Кизилюртовский район,Село,Чонтаул,МКОУ ЧОНТАУЛЬСКАЯ СОШ №1 ,"Республика Дагестан, Кизилюртовский район, с. Чонтаул, ул. Гимбатова, 8",516008229.0,,"43,302957","46,864264",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
408,Кизилюртовский район,Село,Чонтаул,МКОУ ЧОНТАУЛЬСКАЯ СОШ №2 ,"Республика Дагестан, Кизилюртовский район, с. Чонтаул, ул. Ю.Акаева, 33",516008250.0,,"43,310978","46,869379",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
409,Дахадаевский район,Село,Шанди,МКОУ ШАДНИНСКАЯ ООШ ,"Республика Дагестан, Дахадаевский район, с. Шадни",511002921.0,,"42,19228","47,649224",Общеобразовательная организация,Спутник,1.0,ВОЛС,50.0
410,Унцукульский район,Село,Шамилькала,МКОУ ШАМИЛЬКАЛИНСКАЯ СОШ ,"Республика Дагестан, Унцукульский район, с. Шамилькала, ул. М. Дахадаева, 7",533009800.0,,"42,684518","46,865994",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
411,Кумторкалинский район,Село,Шамхалянгиюрт,МКОУ ШАМХАЛЯНГИЮРТОВСКАЯ СОШ ,"Республика Дагестан, Кумторкалинский район, с. Шамхалянгиюрт",552002504.0,,"43,293567","47,226013",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
412,Ногайский район,Село,Шумлелик,МКОУ ШУМЛЕЛИКСКАЯ СОШ ,"Республика Дагестан, Ногайский район, с.Шумлелик ул.Восточная, 5",525006250.0,,"44,24222","45,694914",Общеобразовательная организация,Медь,1.0,ВОЛС,50.0
413,Буйнакский район,Село,Экибулак,МКОУ Экибулакская ООШ ,"Республика Дагестан, Буйнакский район, с. Экибулак",507020090.0,,"43,040617","47,073787",Общеобразовательная организация,Спутник,1.0,ВОЛС,50.0
414,Хасавюртовский район,Село,Эндирей,МКОУ ЭНДИРЕЙСКАЯ СОШ № 1 ,"Республика Дагестан, Хасавюртовский район, с. Эндирей, ул. Школьная, 1",534024657.0,,"43,1994","46,657",Общеобразовательная организация,Медь,12.0,ВОЛС,50.0
415,Хасавюртовский район,Село,Эндирей,МКОУ ЭНДИРЕЙСКАЯ СОШ №2 ,"Республика Дагестан, Хасавюртовский район, с. Эндирей, ул. Айдемирова, 58",534030001.0,,"43,1635","46,6516",Общеобразовательная организация,Медь,12.0,ВОЛС,50.0
416,Табасаранский район,Село,Ягдыг,МКОУ ЯГДЫГСКАЯ СОШ №1 ,"Республика Дагестан,Табасаранский район,с.Ягдыг, ул.Верхний Ягдыг, д.40",530008132.0,,"41,584246","47,574197",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
417,Табасаранский район,Село,Ягдыг,МКОУ ЯГДЫГСКАЯ СОШ №2 ,"Республика Дагестан,Табасаранский район,с.Ягдыг, ул.Нижний Ягдыг, д.10А",530008735.0,,"41,584047","47,58852",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
418,Ахтынский район,Село,Ялак,МКОУ ЯЛАКСКАЯ ООШ ИМ.И.М.ИСАБЕКОВА ,"Республика Дагестан, Ахтынский район, с. Ялак",504006516.0,,"41,531667","47,605",Общеобразовательная организация,Медь,15.0,ВОЛС,50.0
419,Магарамкентский район,Село,Яраг-Казмаляр,МКОУ ЯРАГКАЗМАЛЯРСКАЯ СОШ ,"Республика Дагестан, Магарамкентский район, с. Яраг-Казмаляр, ул. Абаса Исрафилова, 34",523000502.0,,"41,644826","48,38821",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
420,Агульский район,Село,Яркуг,МКОУ ЯРКУГСКАЯ СОШ ,"Республика Дагестан, Агульский район, с. Яркуг",501001870.0,,"41,79852","47,68349",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
421,Чародинский район,Село,Арчиб,МБОУ Арчибская СОШ,"Республика Дагестан, Чародинский район, с. Арчиб",539011147.0,,"42,064946","46,869756",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
422,Буйнакский район,Село,В.-Казанище,МБОУ В.Казанищенская СОШ 1 с.В.Казанище,"Республика Дагестан, Буйнакский район, с. В- Казанище, ул. З.Давудова, 38",507009674.0,,"42,72856","47,13194",Общеобразовательная организация,Медь,5.0,ВОЛС,50.0
423,Ахвахский район,Село,Верхнее Инхело,МБОУ ВЕРХНЕИНХЕЛИНСКАЯ ООШ,"Республика Дагестан, Ахвахский район, с. Верхнее   Инхело, ул. Верхнеинхелинская, д. 151",503005333.0,,"42,620684","46,330241",Общеобразовательная организация,Медь,15.0,ВОЛС,50.0
424,Дербентский район,Село,Геджух,МБОУ Геджухская СОШ,"Республика Дагестан, Дербентский район, с. Геджух, ул. Ленина, 2",512011830.0,,"42,07382","48,040967",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
425,Карабудахкентский район,Село,Гелли,МБОУ ГЕЛИНСКАЯ СОШ,"Республика Дагестан, Карабудахкентский район, с. Гелли, ул. Клубная, 9",,,"42,729551","47,401522",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
426,Хасавюртовский район,Село,Нурадилово,МБОУ ГИМНАЗИЯ,"Республика Дагестан, Хасавюртовский район, с. Нурадилово, ул. Адилсултанова, 15",544001930.0,,"43,175","46,2729",Общеобразовательная организация,Медь,12.0,ВОЛС,50.0
427,Карабудахкентский район,Село,Губден,МБОУ ГУБДЕНСКАЯ СОШ ИМ. АЛИЕВА О.А,"Республика Дагестан, Карабудахкентский район, с. Губден, Амаева, 14",522010949.0,,"42,5675","47,5644",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
428,Гунибский район,Село,Гуниб,МБОУ ГУНИБСКАЯ СОШ,"Республика Дагестан, Гунибский район, с. Гуниб, ул. им. Имама Шамиля, д. 103",510008663.0,,"42,38721","46,95807",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
429,Карабудахкентский район,Село,Гурбуки,МБОУ ГУРБУКИНСКАЯ СОШ №1,"Республика Дагестан, Карабудахкентский район, с. Гурбуки, ул. Школьная, 2",,,"42,606485","47,60778",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
430,Карабудахкентский район,Село,Доргели,МБОУ ДОРГЕЛИНСКАЯ СОШ № 1,"Республика Дагестан, Карабудахкентский район, с. Доргели, ул. Садовая, 5",522011011.0,,"42,667076","47,292921",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
431,Ахвахский район,Село,Изано,МБОУ ИЗАНИНСКАЯ СОШ,"Республика Дагестан, Ахвахский район, с. Изано",503005365.0,,"42,526381","46,404904",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
432,Ахвахский район,Село,Ингердах,МБОУ ИНГЕРДАХСКАЯ СОШ.,"Республика Дагестан, Ахвахский район, с. Ингердах",503005598.0,,"42,588717","46,396992",Общеобразовательная организация,Медь,15.0,ВОЛС,50.0
433,Буйнакский район,Село,Кадар,МБОУ Кадарская СОШ,"Республика Дагестан, Буйнакский район, с. Кадар, ул. Алиева, д. 5",507009699.0,,"42,620213","47,288435",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
434,Карабудахкентский район,Село,Какашура,МБОУ КАКАШУРИНСКАЯ СОШ № 1,"Республика Дагестан, Карабудахкентский район, с. Какашура, ул. Ленина, 4",,,"42,6501","47,3802",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
435,Карабудахкентский район,Село,Какашура,МБОУ КАКАШУРИНСКАЯ СОШ № 2,"Республика Дагестан, Карабудахкентский район, с. Какашура, ул. А.Вагабова, 3",522010970.0,,"42,6528","47,3858",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
436,Карабудахкентский район,Село,Карабудахкент,МБОУ КАРАБУДАХКЕНТСКАЯ СОШ № 2,"Республика Дагестан, Карабудахкентский район, с. Карабудахкент, ул. Жуковского, 1",522010995.0,,"42,709994","47,573015",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
437,Карабудахкентский район,Село,Карабудахкент,МБОУ КАРАБУДАХКЕНТСКАЯ СОШ №1,"Республика Дагестан, Карабудахкентский район, с. Карабудахкент, ул. Гвардейская, 1",,,"42,7123","47,5605",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
438,Буйнакский район,Село,Карамахи,МБОУ Карамахинская СОШ,"Республика Дагестан, Буйнакский район, с. Карамахи, ул. Школьная, 1",507019986.0,,"42,617523","47,25722",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
439,Ахвахский район,Село,Карата,МБОУ КАРАТИНСКАЯ СОШ,"Республика Дагестан, Ахвахский район, с. Карата, ул. Эшхинская, д. 5",503005319.0,,"42,595556","46,335833",Общеобразовательная организация,Медь,15.0,ВОЛС,50.0
440,Городской округ город Каспийск,Город,Каспийск,МБОУ Каспийская гимназия 11,"Республика Дагестан, г. Каспийск, ул. Орджоникидзе, 16",545018905.0,,"42,89131","47,635252",Общеобразовательная организация,Медь,10.0,ВОЛС,100.0
441,Городской округ город Каспийск,Город,Каспийск,МБОУ КАСПИЙСКАЯ ГИМНАЗИЯ,"Республика Дагестан, г. Каспийск, ул. Орджоникидзе, 16",545018905.0,,"42,89131","47,635252",Общеобразовательная организация,Медь,10.0,ВОЛС,100.0
442,Буйнакский район,Село,К.Кумух,МБОУ Кафыркумухская СОШ,"Республика Дагестан, Буйнакский район, с. К.Кумух, ул. Школьная, 1",507009709.0,,"42,85479","47,18459",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
443,Ахвахский район,Село,Кудиябросо,МБОУ КУДИЯБРОСИНСКАЯ СОШ,"Республика Дагестан, Ахвахский район, с. Кудиябросо, ул. Кудиябросинская, 227",,,"45,540682","46,377783",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
444,Городской округ город Махачкала,Город,Махачкала,МБОУ Лицей 22 г. Махачкала,"Республика Дагестан, г. Махачкала, пр. Шамиля, 42б",562066722.0,,"42,971667","47,483889",Общеобразовательная организация,Медь,15.0,ВОЛС,100.0
445,Городской округ город Махачкала,Город,Махачкала,МБОУ Лицей 52 г. Махачкала,"Республика Дагестан, г. Махачкала, ул. Ярагского, 78",560022085.0,,"42,970833","47,506389",Общеобразовательная организация,Медь,15.0,ВОЛС,100.0
446,Городской округ город Махачкала,Город,Махачкала,МБОУ Лицей 8 г. Махачкала,"Республика Дагестан, г. Махачкала, Кировский район, к. № 8",562066169.0,,"42,984916","47,504718",Общеобразовательная организация,Медь,4.0,ВОЛС,100.0
447,Городской округ город Махачкала,Город,Махачкала,МБОУ Лицей №51 г. Махачкала,"Республика Дагестан, г. Махачкала, ул. Островского,18",560021645.0,,"42,998434","47,458289",Общеобразовательная организация,Медь,15.0,ВОЛС,100.0
448,Ахвахский район,Село,Лологонитль,МБОУ ЛОЛОГОНИТЛИНСКАЯ СОШ,"Республика Дагестан, Ахвахский район, с. Лологонитль",503005372.0,,"42,513058","46,330562",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
