,Район,Тип н п,Наименование нас пункта,Наименование,Адрес,ИНН,Контакты,Широта,Долгота,Тип учреждения,Тип подключения (сущ),Скорость подключения (сущ),Тип подключения (план),Скорость подключения (план)
709,Бабаюртовский район,Село,Тюпкутан,МКОУ ТЮПКУТАНСКАЯ СОШ,"Республика Дагестан, Бабаюртовский район, с. Тюпкутан.",505002730.0,,"43,583848","46,823366",,Медь,4.0,ВОЛС,50.0
710,Ногайский район,Село,Уй-Салган,МКОУ УЙ-САЛГАНСКАЯ ООШ,"Республика Дагестан, Ногайский район, с. Уй-Салган",525005961.0,,"44,221921","45,15474",,Спутник,1.0,ВОЛС,50.0
711,Сулейман-Стальский район,Село,Уллугатаг,МКОУ УЛЛУГАТАГСКАЯ СОШ,"Республика Дагестан, Сулейман-стальский район, с. Уллугатаг",529010514.0,,"41,605","48,126389",,Медь,4.0,ВОЛС,50.0
712,Табасаранский район,Село,Улуз,МКОУ УЛУЗСКАЯ ООШ,"Республика Дагестан, Табасаранский район, с. Улуз",530008492.0,,"41,958124","47,837844",,Медь,4.0,ВОЛС,50.0
713,Лакский район,Село,Унчукатль,МКОУ УНЧУКАТЛИНСКАЯ СОШ,"Республика Дагестан, Лакский район, с. Унчукатль",520002124.0,,"42,221037","47,151671",,Медь,4.0,ВОЛС,50.0
714,Шамильский район,Село,Урада,МКОУ Урадинская СОШ,"Республика Дагестан, Шамильский район, с. Урада",,,"42,384673","46,55788",,Медь,4.0,ВОЛС,50.0
715,Гунибский район,Село,Куяда,МКОУ УРАЛИНСКАЯ СОШ,"Республика Дагестан, Гунибский район, с. Куяда",,,"42,418941","46,814247",,Медь,4.0,ВОЛС,50.0
716,Сергокалинский район,Село,Урахи,МКОУ УРАХИНСКАЯ СОШ,"Республика Дагестан, Сергокалинский район, с. Урахи",527003871.0,,"42,335499","47,596236",,Медь,4.0,ВОЛС,50.0
717,Хивский район,Село,Урга,МКОУ УРГИНСКАЯ СОШ,"Республика Дагестан, Хивский район, с. Урга",535003650.0,,"41,869925","47,855307",,Спутник,1.0,ВОЛС,50.0
718,Лакский район,Село,Ури,МКОУ УРИНСКАЯ ООШ ЛАКСКОГО РАЙОНА,"Республика Дагестан, Лакский район, с. Ури.",520003872.0,,"42,206508","47,015712",,Медь,1.0,ВОЛС,50.0
719,Курахский район,Село,Усуг,МКОУ УСУГСКАЯ СОШ,"Республика Дагестан, Курахский район, с. Усуг",,,"41,67214","47,594231",,Медь,4.0,ВОЛС,50.0
720,Табасаранский район,Село,Ушниг,МКОУ УШНИГСКАЯ СОШ,"Республика Дагестан, Табасаранский район, с. Ушниг",530007241.0,,"41,926596","48,002222",,Медь,4.0,ВОЛС,50.0
721,Табасаранский район,Село,Фиргиль,МКОУ ФИРГИЛЬСКАЯ СОШ,"Республика Дагестан, Табасаранский район, с. Фиргиль",530007717.0,,"41,924366","48,025298",,Медь,4.0,ВОЛС,50.0
722,Агульский район,Село,Фите,МКОУ ФИТИНСКАЯ СОШ,"Республика Дагестан, Агульский район, с. Фите.",501001855.0,,"41,791425","47,740263",,Медь,4.0,ВОЛС,50.0
723,Кулинский район,Село,Хайхи,МКОУ ХАЙХИНСКАЯ ОО ШКОЛА - САД,"Республика Дагестан, Кулинский район, с. Хайхи",,,"42,119401","47,185696",,Медь,1.0,ВОЛС,50.0
724,Табасаранский район,Село,Халаг,МКОУ ХАЛАГСКАЯ СОШ,"Республика Дагестан, Табасаранский район, с. Халаг",530007548.0,,"41,90587","47,889523",,Медь,4.0,ВОЛС,50.0
725,Табасаранский район,Село,Ханак,МКОУ ХАНАКСКАЯ ООШ,"Республика Дагестан, Табасаранский район, с. Ханак",530007347.0,,"41,913749","47,865688",,Медь,4.0,ВОЛС,50.0
726,Бабаюртовский район,Село,Хасанай,МКОУ ХАСАНАЙСКАЯ СОШ,"Республика Дагестан, Бабаюртовский район, с. Хасанай.",505002722.0,,"43,628364","46,708505",,Медь,4.0,ВОЛС,50.0
727,Курахский район,Село,Хвередж,МКОУ ХВЕРЕДЖСКАЯ СОШ,"Республика Дагестан, Курахский район, с. Хвередж",519001969.0,,"41,699597","47,57157",,Медь,4.0,ВОЛС,50.0
728,Ботлихский район,Село,Хелетури,МКОУ ХЕЛЕТУРИНСКАЯ СОШ,"Республика Дагестан, Ботлихский район с. Хелетури",506006127.0,,"42,6126","46,225432",,Медь,4.0,ВОЛС,50.0
729,Табасаранский район,Село,Хилипенджик,МКОУ ХИЛИ-ПЕНДЖИКСКАЯ СОШ,"Республика Дагестан, Табасаранский район, с. Хилипенджик",530007562.0,,"41,965613","48,054711",,Медь,4.0,ВОЛС,50.0
730,Хивский район,Село,Хоредж,МКОУ ХОРЕДЖСКАЯ СОШ,"Республика Дагестан, Хивский район, с. Хоредж",535003723.0,,"41,748168","47,866935",,Медь,4.0,ВОЛС,50.0
731,Шамильский район,Село,Хотода,МКОУ Хотодинская СОШ,"Республика Дагестан, Шамильский район, с. Хотода",528008382.0,,"42,393805","46,558901",,Медь,4.0,ВОЛС,50.0
732,Курахский район,Село,Хпедж,МКОУ ХПЕДЖСКАЯ СОШ,"Республика Дагестан, Курахский район, с. Хпедж",519001976.0,,"41,622417","47,727697",,Медь,4.0,ВОЛС,50.0
733,Курахский район,Село,Хпюк,МКОУ ХПЮКСКАЯ СОШ,"Республика Дагестан, Курахский район, с. Хпюк",519001990.0,,"41,672716","47,672118",,Медь,4.0,ВОЛС,50.0
734,Казбековский район,Село,Хубар,МКОУ Хубарская СОШ,"Республика Дагестан, Казбековский район, с. Хубар",,,"43,050007","46,753788",,Медь,4.0,ВОЛС,50.0
