Наименование;ИНН;Адрес;
МКОУ 'Чох-Коммунская СОШ';0510008222;Российская Федерация,368350,Дагестан Респ,Гунибский р-н,Коммуна с,0
МКОУ 'ЧОНТАУЛЬСКАЯ СОШ №2';0516008250;Российская Федерация,368111,Дагестан Респ,Кизилюртовский р-н,Чонтаул с,УЛ Ю.АКАЕВА,33
МКОУ 'ЧОНТАУЛЬСКАЯ СОШ №1';0516008229;Российская Федерация,368111,Дагестан Респ,Кизилюртовский р-н,Чонтаул с,УЛИЦА ГИМБАТОВА,8
МКОУ 'ЧОНДОТЛИНСКАЯ НОШ';0536006156;Российская Федерация,368260,Дагестан Респ,Хунзахский р-н,Чондотль с,УЛ АРСЕНА И АМИРГАМЗА СУЛЕЙМАНОВЫХ,ДОМ 1
МКОУ ' ЧИТЛИНСКАЯ ООШ';0509006661;Российская Федерация,368935,Дагестан Респ,Гумбетовский р-н,Читль с
МКОУ 'ЧИРКАТИНСКАЯ СОШ';0509006608;Российская Федерация,368933,Дагестан Респ,Гумбетовский р-н,Чирката с
МКОУ 'ЧИРАГСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ  ШКОЛА';0501001929;Российская Федерация,368384,Дагестан Респ,Агульский р-н,Чираг с
МКОУ 'ЧИНИМАХИНСКАЯ ООШ';0502005387;Российская Федерация,368291,Дагестан Респ,Акушинский р-н,Бургимакмахи с,УЛ БУРГИМАХИНСКИЙ,ДОМ 7
МКОУ 'ЧИЛИКАРСКАЯ ООШ';0535003811;Российская Федерация,368691,Дагестан Респ,Хивский р-н,Чиликар с
МКОУ 'ЧЕРНЯЕВСКАЯ СОШ';0547006366;Российская Федерация,368812,Дагестан Респ,Кизлярский р-н,Черняевка с,УЛ ВАКУЛЕНКО,1
МКОУ 'ЧЕРЕНСКАЯ ООШ';0529908548;Российская Федерация,368687,Дагестан Респ,Хивский р-н,Чере с
МКОУ 'ЧЕРВЛЕННО-БУРУНСКАЯ СОШ ИМ.З.М.АКМУРЗАЕВА';0525005898;Российская Федерация,368855,Дагестан Респ,Ногайский р-н,Червленные Буруны с
МКОУ 'Чародинская ООШ';0539003033;Российская Федерация,368451,Дагестан Респ,Чародинский р-н,Чарода с,0
МКОУ 'ЧАРАВАЛИНСКАЯ СОШ';0524008582;Российская Федерация,368162,Дагестан Респ,Новолакский р-н,Чаравали с,УЛИЦА САЛАВДИ ВИСХАНОВА,ДОМ 1
