Муниципальное образование;Тип населённого пункта;Наименование населенного пункта;Адрес учреждения;Широта;Долгота;Полное наименование учреждения;Тип подключения (сущ.);Скорость подключения (сущ.), Мбит/с;Провайдер (сущ.);Тип подключения (план);Скорость подключения (план), Мбит/с
Табасаранский район;Село;Сика;Республика Дагестан, Табасаранский район, с. Сика;41,892078;47,978274;МКОУ 'Сиканская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Гунибский район;Село;Гунибский;Республика Дагестан, Гунибский район, с. Силта;42,386202;47,069052;МКОУ 'Сильтинская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Рутульский район;Село;Сюгут;Республика Дагестан, Рутульский район, с. Сюгут;41,650401;47,117212;МКОУ 'Согютская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Дахадаевский район;Село;Дахадаевский;Республика Дагестан, Дахадаевский район, с. Сурсбук;42,102906;47,537780;МКОУ 'Сурсбукская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Левашинский район;Село;Тагиркент;Республика Дагестан, Левашинский район с. Тагиркент;42,363403;47,361469;МКОУ 'Тагиркенстская ООШ';Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Бабаюртовский район;Село;Бабаюрт;Республика Дагестан, Бабаюртовский район, с. Бабаюрт, ул. Ирчи Казака, 134;43,594279;46,764438;МКОУ 'Тамазатюбинская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Тляратинский район;Село;Тамуда;Республика Дагестан, Тляратинский район, с. Тамуда, ул Дудучи Шейха, 3;42,210000;46,381944;МКОУ 'Тамудинская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Сулейман-Стальский район;Село;Татархан;Республика Дагестан, Сулейман-Стальский район, с. Татархан;41,582987;48,093876;МКОУ 'Татарханская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Тляратинский район;Село;Тинчуда;Республика Дагестан, Тляратинский район, с. Тинчуда, ул Лабазанова Магомеда, 9;42,198221;46,454908;МКОУ 'Тинчудинская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Ахвахский район;Село;Тлиси;Республика Дагестан, Ахвахский район, с. Тлиси, ул Тильсинская, 46А;42,562023;46,275886;МКОУ 'ТЛИСИНСКАЯ НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Чародинский район;Село;Тлярабазутль;Республика Дагестан, Чародинский район, с. Тлярабазутль;42,141111;46,777127;МКОУ 'Тлярабазутлинская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Тляратинский район;Село;Чилда;Республика Дагестан, Тляратинский район, с. Чилда, ул Асадула Расулова, 40;42,163942;46,347490;МКОУ 'Урадинская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Хивский район;Село;Уртил;Республика Дагестан, Хивский район, с. Уртил;41,890876;47,886567;МКОУ 'Уртильская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Чародинский район;Село;Урух-Сота;Республика Дагестан, Чародинский район, с. Урух-Сота;42,241019;46,678555;МКОУ 'Урухсотинская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Шамильский район;Село;Урчух;Республика Дагестан, Шамильский район, с. Урчух, ул. Джаватхана Алиева, 7;42,325355;46,495556;МКОУ 'Урчухская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Чародинский район;Село;Утлух;Республика Дагестан, Чародинский район, с. Утлух;42,268015;46,729910;МКОУ 'Утлухская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Хивский район;Село;Фурдаг;Республика Дагестан, Хивский район, с. Фурдаг;41,863767;47,861681;МКОУ 'Фурдагская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Кулинский район;Село;Хайми;Республика Дагестан, Кулинский район, с. Хайми, ул Школьная, 4;42,093260;47,209880;МКОУ 'Хайминская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Табасаранский район;Село;Хархни;Республика Дагестан, Табасаранский район, с. Хархни;41,939501;47,878106;МКОУ 'Хархнинская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Чародинский район;Село;Хилих;Республика Дагестан, Чародинский район, с. Хилих;42,058443;46,886900;МКОУ 'Хилихская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Чародинский район;Село;Хитаб;Республика Дагестан, Чародинский район, с. Хитаб;42,074869;46,867423;МКОУ 'Хитабская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Тляратинский район;Село;Хотлоб;Республика Дагестан, Тляратинский район, с. Хотлоб, ул Магомеднабиева Набибула, 5;42,200037;46,430823;МКОУ 'Хотлобская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Сулейман-Стальский район;Село;Хпюк;Республика Дагестан, Сулейман-Стальский район, с. Хпюк;41,660911;47,953301;МКОУ 'ХПЮКСКАЯ НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
Сулейман-Стальский район;Село;Хтун;Республика Дагестан, Сулейман-Стальский район, с. Хтун;41,583567;48,172466;МКОУ 'Хтунская НОШ';Отсутствует;0;Отсутствует;ВОЛС;50
