,Наименование ДОО,Январь_x,Итог,Тип собственности,Январь_y
1214,"МКДОУ Детский сад №13, с.Салта",,,Муниципальная,11.0
1215,"МКДОУ Детский сад №6, с.Корода",,,Муниципальная,35.0
1216,"МКДОУ ДС №1 'Ромашка', с.Унцукуль",,,Муниципальная,150.0
1217,"МКДОУ ДС №10 'Снежинка', с.Кахабросо",,,Муниципальная,50.0
1218,"МКДОУ  ДС №8 'Солнышко', пгт.Шамилькала",,,Муниципальная,141.0
1219,"МКДОУ ДС №6 'Звездочка', с.Балахани",,,Муниципальная,50.0
1220,"МКДОУ ДС №9 'Сказка', пгт. Шамилькала_",,,Муниципальная,289.0
1221,"МКДОУ ДС №3 'Фиалка', с.Ирганай",,,Муниципальная,109.0
1222,"МКДОУ ДС №13 'Колобок', с. Гимры_",,,Муниципальная,90.0
1223,"МКДОУ ДС №4 'Теремок', с. Гимры",,,Муниципальная,192.0
1224,"МКДОУ ДС №7 'Улыбка', с.Аракани",,,Муниципальная,49.0
1225,"МКДОУ ДС №5 'Соколенок', с.Майданское",,,Муниципальная,117.0
1226,"МКДОУ ДС №11 'Сосна', с.Ашильта",,,Муниципальная,67.0
1227,"МКДОУ ДС №12 'Чебурашка', с.Цатаних",,,Муниципальная,34.0
1228,"МКДОУ ДС №2 Ласточка, с. Унцукуль",,,Муниципальная,232.0
1229,МКОУ Цулдинская ООШ_Детский сад с.Цулда,,,Муниципальная,25.0
1230,МКОУ Цурибская СОШ_Детский сад 'Радуга' с.Цуриб,,,Муниципальная,228.0
1231,МКОУ Тлярошская СОШ_Детский сад с.Тлярош,,,Муниципальная,38.0
1232,МКОУ Магарская СОШ_Детский сад с.Магар,,,Муниципальная,20.0
1233,МКОУ Ирибская СОШ_ Детский сад. с.Ириб,,,Муниципальная,30.0
1234,МКОУ Гочобская СОШ_Детский сад с.Гочоб,,,Муниципальная,24.0
1235,МКОУ Гилибская СОШ_ Детский сад с.Гилиб,,,Муниципальная,76.0
1236,"МБДОУ 'Детский сад №18 'Ясмина', с. Н.Параул",,,Муниципальная,120.0
1237,"МБДОУ ДС №17 'Анжи',  с.Губден",,,Муниципальная,60.0
1238,"МБДОУ ДС №21 'Волшебник', с.Губден _",,,Муниципальная,60.0
1239,"МБДОУ ДС №2 Юлдуз, с.Карабудахкент",,,Муниципальная,254.0
1240,"МБДОУ Детский сад №7 'Ласточка', с.Параул",,,Муниципальная,118.0
1241,"МБДОУ Детский сад №10 'Чебурашка', пгт.Манас",,,Муниципальная,196.0
1242,"МБДОУ 'Детский сад №23 'Страна чудес', с.Гурбуки_",,,Муниципальная,150.0
1243,"МБДОУ Детский сад №6 'Теремок', с.Доргели",,,Муниципальная,120.0
1244,"МБДОУ ДС №9 Ромашка, пгт.Манас",,,Муниципальная,62.0
1245,"МБДОУ ДС №13 'Родничок', с.Гурбуки",,,Муниципальная,80.0
1246,"МБДОУ Детский сад №3 'Бекенез', с.Карабудахкент",,,Муниципальная,283.0
1247,"МБДОУ ДС №16 'Золушка', с.Карабудахкент",,,Муниципальная,69.0
1248,"!МКДОУ ДС №1 Солнышко, с.Карабудахкент (кап.рем.)",,,Муниципальная,19.0
1249,"МБДОУ ДС №5 Лачин, с.Зеленоморск",,,Муниципальная,82.0
1250,"МБДОУ Детский сад №4 'Улыбка', с.Какашура",,,Муниципальная,126.0
1251,"МБДОУ ДС №19 'Карапуз', с. Манаскент_",,,Муниципальная,90.0
1252,"МБДОУ Детский сад №8 'Ручеек', с.Гели",,,Муниципальная,135.0
1253,"МБДОУ 'Детский сад №22 'Замок детства', с.Гурбуки_",,,Муниципальная,150.0
1254,"МБДОУ ДС №15 'Звездочка', с.Агачаул",,,Муниципальная,70.0
1255,"МБДОУ ДС №12 Фиалка, с.Уллубийаул",,,Муниципальная,255.0
1256,"МБДОУ ДС №14 'Сказка', с.Карабудахкент",,,Муниципальная,89.0
1257,"МБДОУ 'Детский сад №20 'Счастливый малыш', с.Агачаул",,,Муниципальная,120.0
1258,"МБДОУ ДС №15  'Счастливое детство', пгт.Ачису",,,Муниципальная,83.0
1259,"МБДОУ Детский сад №11 'Ласточка', с.Манаскент",,,Муниципальная,126.0
1260,_МКОУ 'Дибгашинская СОШ' (гкп),,,Муниципальная,14.0
1261,_МКОУ 'Трисанчинская СОШ' (гкп),,,Муниципальная,20.0
1262,_МКОУ 'Новоуркарахская СОШ' (гкп),,,Муниципальная,16.0
1263,_МКОУ «Ирагинская  СОШ» (гкп),,,Муниципальная,20.0
1264,_МКОУ «Морская СОШ» (гкп),,,Муниципальная,21.0
1265,МКОУ 'Уркарахсая начальная школа - детский сад им. Р.Рамазанова'_,,,Муниципальная,62.0
1266,"МКДОУ Кубачинская школа-сад (НОШ), пгт. Кубачи",,,Муниципальная,40.0
1267,"МКДОУ 'Детский ясли-сад №2', с. Уркарах",,,Муниципальная,69.0
1268,"МКДОУ 'Радуга', с.Кища",,,Муниципальная,70.0
1269,"МКДОУ 'Олимп', с.Меусеша _",,,Муниципальная,65.0
1270,МКДОУ ОВ 'Детский сад 'Солнышко' с. Уркарах_,,,Муниципальная,150.0
1271,_МКОУ «Калкнинская  СОШ» (гкп),,,Муниципальная,20.0
1272,МБДОУ Д/С № 24 'Ромашка',,,Муниципальная,370.0
1273,МБДОУ ЦРР-ДС  № 1 ' Василек',,,Муниципальная,164.0
1274,МКДОУ Д/С № 12 'Юлдуз',,,Муниципальная,203.0
1275,МКДОУ Д/С № 22 'Солнышко',,,Муниципальная,121.0
1276,МБДОУ ЦРР-ДС № 29 'Дельфинчик',,,Муниципальная,460.0
1277,МБДОУ ЦРР-ДС № 11 'Светлячок',,,Муниципальная,375.0
1278,МБДОУ Д/С №8 'Дюймовочка',,,Муниципальная,162.0
1279,МБДОУ ЦРР-ДС № 28 'Якорёк',,,Муниципальная,217.0
1280,МБДОУ ЦРР-ДС № 23 'Лесная сказка',,,Муниципальная,233.0
1281,МБДОУ ЦРР-ДС № 5 'Гусельки',,,Муниципальная,437.0
1282,МБДОУ Д/С №3 'Аленушка',,,Муниципальная,277.0
1283,МБДОУ Д/С № 16 'Чебурашка',,,Муниципальная,195.0
1284,МБДОУ Д/С № 26 'Родничок',,,Муниципальная,465.0
1285,МБДОУ ЦРР-ДС № 14 'Журавленок',,,Муниципальная,387.0
1286,МБДОУ ЦРР-ДС № 7 'Ласточка',,,Муниципальная,393.0
1287,МБДОУ Д/С №31 'Улыбка',,,Муниципальная,446.0
1288,МБДОУ ДС №32 'Соколенок'_ (з-д 'Дагдизель'),,,Муниципальная,125.0
1289,МБДОУ Д/С № 17 'Буратино',,,Муниципальная,386.0
1290,МБДОУ ЦРР-ДС № 25 'Джейран',,,Муниципальная,407.0
1291,МБДОУ ЦРР-ДС № 15 'Незабудка',,,Муниципальная,398.0
1292,МБДОУ Д/С № 21 'Радуга',,,Муниципальная,154.0
1293,МБДОУ №33 'Юбилейный',,,Муниципальная,432.0
1294,МБДОУ Д/С №30 'Звёздочка',,,Муниципальная,158.0
1295,МБДОУ ЦРР-ДС  № 10 'Ивушка',,,Муниципальная,393.0
1296,МБДОУ ДС №25 'Лучик',,,Муниципальная,465.0
1297,МБДОУ ЦРР-ДС №85,,,Муниципальная,332.0
1298,МБДОУ ЦРР-ДС №87,,,Муниципальная,452.0
1299,МБДОУ ДС №20 'Соколенок'_,,,Муниципальная,422.0
1300,МБДОУ ЦРР-ДС №7,,,Муниципальная,526.0
1301,МБОУ 'Начальная школа - детский сад №27',,,Муниципальная,215.0
1302,МБДОУ ДС №77 'Тюльпан' (МКР М-5),,,Муниципальная,411.0
1303,МБДОУ ЦРР-ДС №84,,,Муниципальная,229.0
1304,МБДОУ ЦРР-ДС №59,,,Муниципальная,352.0
1305,МБОУ 'Начальная школа - детский сад № 78',,,Муниципальная,300.0
1306,МБДОУ ЦРР-ДС №49,,,Муниципальная,596.0
1307,МБДОУ ЦРР-ДС №37,,,Муниципальная,448.0
1308,МБДОУ ДС №45 'Островок',,,Муниципальная,369.0
1309,МБДОУ ЦРР-ДС №50,,,Муниципальная,427.0
1310,МБДОУ ЦРР-ДС №38,,,Муниципальная,376.0
1311,МБДОУ ДС №6 'Горянка',,,Муниципальная,171.0
1312,МБДОУ ЦРР-ДС №43,,,Муниципальная,379.0
1313,МБОУ 'Начальная школа - детский сад №52',,,Муниципальная,229.0
1314,МБДОУ ЦРР-ДС №39,,,Муниципальная,374.0
1315,МБДОУ ЦРР-ДС №34,,,Муниципальная,236.0
1316,МБДОУ ЦРР-ДС №81,,,Муниципальная,461.0
1317,МБДОУ ДС № 67 'Родничок'_,,,Муниципальная,227.0
1318,МБДОУ ЦРР-ДС №22,,,Муниципальная,211.0
1319,МБДОУ ЦРР-ДС №69,,,Муниципальная,296.0
1320,МБДОУ' ЦРР-ДС №86',,,Муниципальная,344.0
1321,МБДОУ ЦРР-ДС №44,,,Муниципальная,290.0
1322,МБОУ Начальная школа-детский сад №71,,,Муниципальная,468.0
1323,МБДОУ ЦРР-ДС №62,,,Муниципальная,365.0
1324,МБДОУ ЦРР-ДС №70,,,Муниципальная,277.0
1325,МБДОУ ЦРР-ДС №30,,,Муниципальная,197.0
1326,!_МКОУ 'СОШ № 4' (ГКП)_деят.приост.,,,Муниципальная,0.0
1327,!_МКОУ «Гимназия № 2 им.А.Сайтиева» (ГКП)_деят.приост.,,,Муниципальная,75.0
1328,!_МКОУ 'Гимназия им. М. Горького' (ГКП)_деят.приост.,,,Муниципальная,8.0
1329,!_МКОУ 'СОШ № 15' (ГКП)_деят.приост.,,,Муниципальная,0.0
1330,!_МКОУ «СОШ № 19» (ГКП)_деят.приост.,,,Муниципальная,80.0
1331,!_МКОУ 'СОШ № 12 им. Л.Толстого' (ГКП)_деят.приост.,,,Муниципальная,60.0
1332,!_МКОУ «Гимназия № 3» (ГКП)_деят.приост.,,,Муниципальная,75.0
1333,МКДОУ Д/С № 1 «Теремок» г.Хасавюрт,,,Муниципальная,97.0
1334,МКОУ 'Прогимназия № 6 'Ивушка',,,Муниципальная,360.0
1335,МКДОУ Д/С № 3 «Берёзка» г.Хасавюрт,,,Муниципальная,192.0
1336,!_МКОУ 'СОШ № 10 им. Исмаилова' (ГКП)_деят.приост.,,,Муниципальная,60.0
1337,МКДОУ Д/С № 7 «Улыбка»_,,,Муниципальная,323.0
1338,!_МКОУ 'СОШ № 14' (ГКП) деят. приост.,,,Муниципальная,0.0
1339,МКДОУ Д/С № 2 «Колокольчик» г.Хасавюрт,,,Муниципальная,88.0
1340,!_МКОУ «СОШ № 9» (ГКП)_деят.приост.,,,Муниципальная,33.0
1341,!_МКОУ 'СОШ № 8' (ГКП)_деят.приост.,,,Муниципальная,30.0
1342,!_МКОУ 'СОШ № 5' (ГКП)_деят. приост,,,Муниципальная,0.0
1343,!_МКОУ «СОШ № 2»(ГКП)_деят.приост.,,,Муниципальная,16.0
1344,!_МКОУ 'СОШ № 11'  (ГКП)_деят.приост.,,,Муниципальная,50.0
1345,МКДОУ Д/С № 4 «Звёздочка» г.Хасавюрт,,,Муниципальная,357.0
1346,МКДОУ Прогимназия 9 Ручеёк,,,Муниципальная,193.0
1347,!_МКОУ 'СОШ № 17' (ГКП)_деят.приост.,,,Муниципальная,75.0
1348,МКДОУ Д/С № 5 «Алёнушка» г.Хасавюрт,,,Муниципальная,217.0
1349,!_МКОУ «СОШ № 7 им. Алибекова» (ГКП)_деят.приост.,,,Муниципальная,0.0
1350,МКОУ Детский сад №11 'Светлячок' (пос. Бальюрт)_,,,Муниципальная,323.0
1351,_МКОУ «Аксайская СОШ № 1 им. З.Н.Батырмурзаева» (ГКП),,,Муниципальная,31.0
1352,_МКОУ «Сивухская СОШ» (ГКП),,,Муниципальная,84.0
1353,_МКОУ «Костекская СОШ им. Б.Ш.Бакиева» (ГКП),,,Муниципальная,3.0
1354,_МКОУ «Ст.Карланюртовская СОШ» (ГКП),,,Муниципальная,22.0
1355,_МКОУ «Борагангечувская СОШ» (ГКП),,,Муниципальная,24.0
1356,_МКОУ «Эндирейская СОШ № 1» (ГКП),,,Муниципальная,36.0
1357,_МКОУ «Кадыротарская СОШ» (ГКП),,,Муниципальная,8.0
1358,_МКОУ «Кемсиюртовская СОШ» (ГКП),,,Муниципальная,20.0
1359,_МКОУ «Солнечная СОШ» (ГКП),,,Муниципальная,48.0
1360,_МКОУ «Курушская СОШ № 2 им. Я.С.Аскандарова» (ГКП),,,Муниципальная,22.0
1361,_МКОУ «Карланюртовская СОШ им. А.Д.Шихалиева» (ГКП),,,Муниципальная,60.0
1362,_МКОУ «Петраковская СОШ» (ГКП),,,Муниципальная,37.0
1363,_МКОУ «Аксайская СОШ № 2 им. Х.Г.Магидова» (ГКП),,,Муниципальная,14.0
1364,_МКОУ «Моксобская СОШ им. О-Г.М.Шахтаманова» (ГКП),,,Муниципальная,7.0
1365,_МКОУ «Генжеаульская СОШ им. М.М.Зумаева» (ГКП),,,Муниципальная,18.0
1366,_МКОУ «Первомайская СОШ им.И.Г.Исакова» (ГКП),,,Муниципальная,30.0
1367,_МКОУ «Теречная СОШ» (ГКП),,,Муниципальная,30.0
1368,_МКОУ «Темираульская СОШ им. Б.Ш.Баймурзаева» (ГКП),,,Муниципальная,50.0
1369,_МКОУ «Аджимажагатюртовская СОШ» (ГКП),,,Муниципальная,10.0
1370,_МКОУ «Новогагатлинская СОШ им. Х.С.Салимова» (ГКП),,,Муниципальная,59.0
1371,_МКОУ «Гоксувотарская СОШ» (ГКП),,,Муниципальная,15.0
1372,_МКОУ «Казмааульская СОШ» (ГКП),,,Муниципальная,29.0
1373,"МБДОУ ДС 'Восточное', с. Восточный г.Хасавюрт",,,Муниципальная,260.0
1374,"МБДОУ ДС 'Ромашка', с.Костек",,,Муниципальная,130.0
1375,_МКОУ «Пятилеткинская СОШ» (ГКП),,,Муниципальная,21.0
1376,_МКОУ «Новосельская СОШ» (ГКП),,,Муниципальная,33.0
1377,_МКОУ «Адильотарская СОШ» (ГКП),,,Муниципальная,32.0
1378,"МБДОУ ДС 'Ивушка', с.Аксай",,,Муниципальная,165.0
1379,_МКОУ «Советская СОШ им. Ш.Т.Амичева» (ГКП),,,Муниципальная,21.0
1380,"МБДОУ ДС 'Солнышко', г.Хасавюрт",,,Муниципальная,429.0
1381,_МКОУ «Новосаситлинская СОШ» (ГКП),,,Муниципальная,18.0
1382,"МБДОУ ДС 'Теремок', с.Тотурбийкала_",,,Муниципальная,180.0
1383,"МБДОУ ДС 'Сказка', с.Бамматюрт",,,Муниципальная,185.0
1384,_МКОУ «Хамавюртовская СОШ им.А.М.Аджиева» (ГКП),,,Муниципальная,72.0
1385,"МБДОУ ДС 'Радуга', с.Новогагатли",,,Муниципальная,171.0
1386,"МБДОУ ДС 'Седа', с.Солнечное",,,Муниципальная,287.0
1387,_МКОУ «Тукитинская СОШ» (ГКП),,,Муниципальная,9.0
1388,_МКОУ «Гимназия Культуры мира им. А.Д.Адилсолтанова» (ГКП),,,Муниципальная,53.0
1389,"МБДОУ ДС 'Улыбка', с.Кокрек",,,Муниципальная,297.0
1390,_МКОУ Тотурбийкалинская СОШ (гкп)_,,,Муниципальная,18.0
1391,"МБДОУ ДС 'Звездочка', с.Новый Костек_",,,Муниципальная,142.0
1392,_МКОУ «Эндирейская СОШ № 2» (ГКП),,,Муниципальная,7.0
1393,_МКОУ «Османюртовская СОШ» (ГКП),,,Муниципальная,50.0
1394,_МКОУ «Бамматюртовская СОШ» (ГКП),,,Муниципальная,10.0
1395,_МКОУ «Сулевкентская СОШ им.С.А.Абдулаева» (ГКП),,,Муниципальная,31.0
1396,_МКОУ «Садовая СОШ» (ГКП),,,Муниципальная,13.0
1397,_МКОУ «Покровская СОШ» (ГКП),,,Муниципальная,60.0
1398,_МКОУ «Октябрьская СОШ» (ГКП),,,Муниципальная,33.0
1399,_МКОУ «Муцалаульская СОШ № 2» (ГКП),,,Муниципальная,38.0
1400,_МКОУ «Могилевская СОШ им. Н.У.Азизова» (ГКП),,,Муниципальная,55.0
1401,_МКОУ «Кокрекская СОШ» (ГКП),,,Муниципальная,28.0
1402,_МКОУ «Кандаураульская СОШ им. О.К.Кандаурова» (ГКП),,,Муниципальная,25.0
1403,_МКОУ «Ичичалинская СОШ им. Б.Г.Битарова» (ГКП),,,Муниципальная,15.0
1404,_МКОУ «Байрамаульская СОШ» (ГКП),,,Муниципальная,47.0
1405,_МКОУ «Чагаротарская СОШ им.А.И.Исмаилова» (ГКП),,,Муниципальная,54.0
1406,_МКОУ «Боташюртовская СОШ им.Б.Т.Ахаева» (ГКП),,,Муниципальная,51.0
1407,_МКОУ «Муцалаульская СОШ № 1 им.А.Я.Абдуллаева» (гкп),,,Муниципальная,90.0
1408,_МКОУ «Акбулатюртовская СОШ» (ГКП),,,Муниципальная,11.0
1409,_МКОУ «Новокостекская СОШ» (ГКП),,,Муниципальная,75.0
1410,_МКОУ «Курушская СОШ № 1 им. А.Б.Айдунова» (ГКП),,,Муниципальная,47.0
1411,_МКОУ «Ботаюртовская СОШ им. Н.П.Жердева» (ГКП),,,Муниципальная,34.0
1412,_МКОУ «Шагадинская СОШ» (ГКП),,,Муниципальная,25.0
1413,_МКОУ «Дзержинская СОШ» (ГКП),,,Муниципальная,19.0
1414,"МБДОУ ДС 'Салам', с.Новосасетли",,,Муниципальная,120.0
1415,"МБДОУ ДС 'Ласточка', с.Эндирей_",,,Муниципальная,184.0
1416,"МКДОУ  Детский сад «Аленушка», с.Новокаракюре",,,Муниципальная,79.0
1417,МКДОУ Детский сад Ласточка (с.Усухчай)_,,,Муниципальная,111.0
1418,_МКОУ 'Курушская СОШ' (гкп),,,Муниципальная,13.0
1419,"МКДОУ Детский сад «Солнышко», с.Мискинджа",,,Муниципальная,60.0
1420,"!МКДОУ «Венера», с.Микрах (деят. приост.)",,,Муниципальная,0.0
1421,"!МКДОУ «Звездочка», с. Авадан _на кап. рем.",,,Муниципальная,0.0
1422,_МКОУ 'Аваданская СОШ' (гкп),,,Муниципальная,51.0
1423,_МКОУ 'Каракюринская СОШ' (гкп),,,Муниципальная,11.0
1424,!_МКОУ «Микрахказмалярская СОШ» (гкп)_деят. приост.,,,Муниципальная,0.0
1425,МКДОУ  Детский сад 'Бахча' с. Килер,,,Муниципальная,101.0
1426,"_МКОУ 'Гимназия Культуры мира', с.Гуни (гкп)",,,Муниципальная,13.0
1427,"МКДОУ 'Д/с 'Лачен', с.Гертма",,,Муниципальная,80.0
1428,"МКДОУ 'Д/с 'Чебурашка', с.Ленинаул",,,Муниципальная,170.0
1429,"МКДОУ 'ЦРР - Д/с №1 'Сказка', с.Дылым",,,Муниципальная,292.0
1430,_МКОУ «Ленинаульская  СОШ №1  имени Героя СССР Х.Нурадилова» (гкп),,,Муниципальная,34.0
1431,"МКДОУ 'Д/с 'Колокольчик', Калининаул",,,Муниципальная,205.0
1432,"МКДОУ 'Д/с 'Солнышко', с.Инчха",,,Муниципальная,135.0
1433,"МКДОУ 'ЦРР -Детский сад №3 'Журавушка', с.Дылым",,,Муниципальная,292.0
1434,"МКДОУ 'Детский сад 'Радуга', с.Ленинаул_",,,Муниципальная,255.0
1435,"МКДОУ 'Д/с №2 Солнышко', пгт.Дубки",,,Муниципальная,143.0
1436,"МКДОУ Д/с №1 'Ромашка', пгт.Дубки",,,Муниципальная,160.0
1437,"МКДОУ Д/с 'Улыбка', с.Гуни",,,Муниципальная,143.0
1438,"МКДОУ 'Д/с общеразвивающего вида №2 Светлячок', с.Дылым",,,Муниципальная,166.0
1439,"МКДОУ 'Д/с 'Ласточка', с.Хубар",,,Муниципальная,80.0
1440,"МКДОУ 'Детский сад  'Колобок', с.Алмак",,,Муниципальная,75.0
1441,МКДОУ 'Детский сад имени  Гаджи Махачева',,,Муниципальная,70.0
1442,_МКОУ «Калининаульская СОШ имени Героя России Гайирханова М.М.» (ГКП),,,Муниципальная,34.0
1443,!_МКОУ «Гертминская СОШ им. Абдулмуслимова М.А.» (ГКП)_реконстр.,,,Муниципальная,14.0
1444,!_МКОУ 'Киркинская СОШ им. Аликберова Г.А.' (ГКП)_деят.приост.,,,Муниципальная,8.0
1445,"МКДОУ ДС 'Чебурашка', с.Оружба",,,Муниципальная,62.0
1446,"МКДОУ ДС 'Ласточка', с.Советское",,,Муниципальная,113.0
1447,_МКОУ 'Чахчах-Казмалярская СОШ им. М.М.Мерзаметова' (ГКП),,,Муниципальная,28.0
1448,!_МКОУ 'Целегюнская СОШ' (ГКП)_деят.приост.,,,Муниципальная,11.0
1449,!_МКОУ 'Советская СОШ' (ГКП)_деят.приост.,,,Муниципальная,30.0
1450,!_МКОУ 'Картасказмалярская СОШ' (ГКП)_деят.приост.,,,Муниципальная,19.0
1451,_МКОУ 'Ярагказмалярская СОШ им. М.Ярагского' (ГКП),,,Муниципальная,42.0
1452,_МКОУ 'Бут-Казмалярская СОШ' (ГКП),,,Муниципальная,32.0
1453,"МКДОУ ДС 'Русалочка', с.Приморское_",,,Муниципальная,44.0
1454,"МКДОУ ДС 'Ромашка', с.Новый Аул",,,Муниципальная,26.0
1455,"МКДОУ ДС 'Родничок', с.Азадоглы",,,Муниципальная,25.0
1456,_МКОУ 'Новоаульская СОШ им. Исмаилова Т.' (ГКП),,,Муниципальная,34.0
1457,_МКОУ 'Тагиркент-казмалярская СОШ' (ГКП),,,Муниципальная,28.0
1458,!_МКОУ 'Хорельская СОШ' (ГКП)_деят.приост.,,,Муниципальная,10.0
1459,!_МКОУ 'Приморская ООШ' (ГКП) _деят. приост.,,,Муниципальная,0.0
1460,"МКДОУ ДС 'Колобок', с.Кирка",,,Муниципальная,61.0
1461,_МКОУ 'Кчунказмалярская СОШ' (ГКП),,,Муниципальная,15.0
1462,_МКОУ 'Ходжаказмалярская СОШ им. М.К.Казиева' (ГКП),,,Муниципальная,7.0
1463,_МКОУ 'Гильярская СОШ' (ГКП),,,Муниципальная,21.0
1464,"МКДОУ ДС 'Теремок', с.Магарамкент",,,Муниципальная,83.0
1465,_МКОУ 'Кличханская ООШ' (ГКП),,,Муниципальная,4.0
1466,!_МКОУ 'Оружбинская СОШ' (ГКП)_деят.приост.,,,Муниципальная,24.0
1467,!_МКОУ 'Мугерганская СОШ' (ГКП)_деят.приост.,,,Муниципальная,9.0
1468,"МКДОУ ДС 'Сказка', с.Гапцах",,,Муниципальная,117.0
1469,"МКДОУ ДС 'Красная шапочка', с.Советское",,,Муниципальная,65.0
1470,"МКДОУ ДС 'Золушка', с.Бут",,,Муниципальная,65.0
1471,"МКДОУ ДС 'Солнышко', с.Магарамкент",,,Муниципальная,251.0
1472,"МКДОУ ДС 'Радуга', с.Гильяр",,,Муниципальная,60.0
1473,"МКДОУ ДС 'Дюймовочка', с.Картасказмаляр",,,Муниципальная,50.0
1474,"МКДОУ ДС 'Соколенок', с.Тагиркент-Казмаляр",,,Муниципальная,70.0
1475,_МКОУ 'Магарамкентская СОШ №2' (ГКП),,,Муниципальная,14.0
1476,_МКОУ 'Хутунказмалярская ООШ' (ГКП),,,Муниципальная,24.0
1477,_МКОУ 'Билбильская СОШ им. М.Абдуллаева' (ГКП),,,Муниципальная,28.0
1478,"МКДОУ ДС 'Звездочка', с.Тагиркент-Казмаляр",,,Муниципальная,20.0
1479,"МКДОУ ДС 'Билбил', с.Билбиль",,,Муниципальная,43.0
1480,_МКОУ 'Магарамкентская СОШ №1 им. М.Гаджиева' (гкп),,,Муниципальная,44.0
1481,"МКДОУ ДС 'Улыбка', с.Ярагказмаляр",,,Муниципальная,134.0
1482,_МКОУ  'Гапцахская СОШ им. Т.Н.Нагиева' (ГКП),,,Муниципальная,23.0
1483,_МКОУ 'Филялинская СОШ' (ГКП),,,Муниципальная,21.0
1484,!_МКОУ 'Тагиркентская ООШ' (ГКП)_деят.приост.,,,Муниципальная,7.0
1485,"МКДОУ ДС 'Лесная', с.Самур",,,Муниципальная,20.0
1486,"МКДОУ ДС 'Буратино, с.Куйсун",,,Муниципальная,60.0
1487,"МКДОУ ДС 'Алёнушка', с.Филя",,,Муниципальная,91.0
1488,_МКОУ 'Ярукваларская основная общеобразовательная школа' (ГКП),,,Муниципальная,6.0
1489,!_МКОУ 'Азадоглынская СОШ' (ГКП)_деят.приост.,,,Муниципальная,18.0
1490,_МКОУ 'Куйсунская СОШ' (ГКП),,,Муниципальная,28.0
1491,_МКОУ 'Джепельская ООШ' (ГКП),,,Муниципальная,9.0
1492,_МКОУ 'Самурская СОШ' (ГКП),,,Муниципальная,45.0
1493,!_МКОУ 'Гарахская ООШ' (ГКП)_деят.приост,,,Муниципальная,0.0
1494,_МКОУ 'Капирказмалярская СОШ' (ГКП),,,Муниципальная,32.0
1495,МКОУ СОШ №10 предшкольная подготовка «Солнечный круг» г.Буйнакск,,,Муниципальная,107.0
1496,МКДОУ ЦРР - ДС№ 16 'Журавлик' г.Буйнакска,,,Муниципальная,212.0
1497,МКДОУ ДС № 9 'Радуга' г.Буйнакска,,,Муниципальная,76.0
1498,МКДОУ ДС № 3 'Вишенка' г.Буйнакска,,,Муниципальная,215.0
1499,МКДОУ ЦРР - ДС№ 8 г. Буйнакска_,,,Муниципальная,283.0
1500,МКДОУ ЦРР - ДС№ 5 'Ветерок' г.Буйнакска,,,Муниципальная,165.0
1501,МКДОУ ДС № 7 'Ласточка'  г.Буйнакска,,,Муниципальная,86.0
1502,!МКДОУ ЦРР - ДС№ 19 'Соколенок' г.Буйнакска_деят.приост.,,,Муниципальная,197.0
1503,МКДОУ ЦРР - ДС№ 17 города Буйнакска,,,Муниципальная,193.0
1504,МКДОУ ЦРР - ДС№ 14 города Буйнакска,,,Муниципальная,175.0
1505,МКДОУ «Детский сад №20» г.Буйнакска (ДК)_,,,Муниципальная,308.0
1506,МБДОУ ЦРР- ДС №1 'Светлячок' г.Буйнакска,,,Муниципальная,469.0
1507,МКДОУ ЦРР - ДС№ 13 города Буйнакска,,,Муниципальная,160.0
1508,МКДОУ ДС № 18 'Солнышко' г.Буйнакска,,,Муниципальная,106.0
1509,МКДОУ ЦРР - ДС№ 12 города Буйнакска,,,Муниципальная,182.0
1510,МКДОУ ДС № 11 'Сказка' г.Буйнакска,,,Муниципальная,361.0
1511,МКДОУ ЦРР - ДС№ 6 'Гнездышко' г.Буйнакска,,,Муниципальная,246.0
1512,МБДОУ Детский сад № 3 'Улыбка',,,Муниципальная,321.0
1513,МБДОУ ДС №6 'Орленок'_,,,Муниципальная,135.0
1514,МБДОУ детский сад №4 'Соколенок',,,Муниципальная,274.0
1515,МБДОУ ДС № 5 'Дружба',,,Муниципальная,215.0
1516,МБДОУ № 25 «Золушка»,,,Муниципальная,190.0
1517,!МБДОУ № 6_ликвид.,,,Муниципальная,48.0
1518,МБДОУ ЦРР № 2 «Горяночка»,,,Муниципальная,93.0
1519,МБДОУ № 16 «Чебурашка»,,,Муниципальная,167.0
1520,МБДОУ №13 'Незабудка'_,,,Муниципальная,168.0
1521,МБДОУ ЦРР № 33 «Русалочка»,,,Муниципальная,172.0
1522,МБДОУ № 19 «Паровозик»,,,Муниципальная,159.0
1523,МБДОУ № 9 «Счастливое детство»,,,Муниципальная,176.0
1524,МБДОУ ДС №24 'Пчелка' (р-он Аэропорт)_,,,Муниципальная,62.0
1525,МБДОУ № 5 «Надежда»,,,Муниципальная,99.0
1526,МБДОУ ЦРР № 30 «Улыбка»,,,Муниципальная,483.0
1527,МБДОУ ЦРР № 14 «Ласточка»,,,Муниципальная,344.0
1528,МБДОУ ЦРР № 11 «Петушок»,,,Муниципальная,253.0
1529,МБДОУ № 7 «Улдуз»,,,Муниципальная,142.0
1530,МБДОУ № 29 «Колокольчик»,,,Муниципальная,127.0
1531,МБДОУ № 12 «Теремок»,,,Муниципальная,164.0
