Наименование ДОО;Январь;Итог
МКДОУ 'Детский сад общеразвивающего вида 'Теремок', с.Новочиркей;74;
МКДОУ 'Детский сад общеразвивающего типа 'Ласточка', с.Акнада;49;
МКДОУ ЦРР 'Детский сад общеразвивающего вида 'Тюльпан' с, Зубутли-Миатли;102;
МКДОУ 'Аверьяновский детский сад';101;
МКДОУ 'Александрийский детский сад';100;
МКДОУ 'Большеарешевский детский сад';52;
МКДОУ 'Большезадоевский детский сад';40;
МКДОУ 'Журавлик', с. им. Жданова ;109;
МКДОУ 'Кардоновский детский сад';80;
МКДОУ 'Коллективизаторский детский сад';19;
МКДОУ 'Косякинский детский сад';53;
МКДОУ 'Крайновский детский сад';45;
МКДОУ 'Малоарешевский детский сад';60;
МКДОУ 'Новокохановский детский сад';42;
МКДОУ 'Октябрьский детский сад';48;
МКДОУ 'Победовский детский сад';59;
МКДОУ 'Пролетарский детский сад';56;
МКДОУ 'Цветковский детский сад';104;
МКДОУ 'Черняевский детский сад';69;
МКДОУ 'Юбилейный детский сад';89;
МКДОУ 'Яснополянский детский сад';40;
МКОУ 'Канинская ООШ' (ГКП) деят.приост.;6;
МКОУ 'Кулинская СОШ №2' (гкп) деят.приост.;2;
МКОУ 'Сумбатлинская ООШ' (ГКП) деят. приостан.;1;
МКОУ 'Цыйшинская СОШ' (ГКП) деят. приостан.;1;
МК ДОУ Хосрехский детский сад;30;
МКДОУ Вачинский детский сад;32;
МКДОУ Вихлинский детский сад;36;
МКДОУ Кулинский детский сад;80;
МКОУ Каялинская школа-сад №4 (СОШ);16;
МКОУ 'Хайхинская школа-сад' (ООШ) ;7;
МКОУ 'Тюбинская СОШ' (ГКП) деят. приост;0;
МКДОУ детский сад 'Радость', с.Коркмаскала;420;
МКДОУ 'Солнышко', с.Коркмаскала ;196;
МКОУ 'Курахская СОШ №2' (ГКП)- деят. приост;0;
 МКОУ Аладашская СОШ (ГКП) ;9;
 МКОУ 'Гельхенская школа-детсад' (гкп) ;10;
 МКОУ Икринская СОШ  (ГКП) ;10;
